Round,Mean,Std
1,100.0,0.0
2,100.0,0.0
3,100.0,0.0
4,100.0,0.0
5,100.0,0.0
6,100.0,0.0
7,100.0,0.0
8,100.0,0.0
9,100.0,0.0
10,100.0,0.0
11,100.0,0.0
12,100.0,0.0
13,100.0,0.0
14,100.0,0.0
15,100.0,0.0
16,100.0,0.0
17,100.0,0.0
18,100.0,0.0
19,100.0,0.0
20,100.0,0.0
21,100.0,0.0
22,100.0,0.0
23,100.0,0.0
24,100.0,0.0
25,100.0,0.0
26,100.0,0.0
27,100.0,0.0
28,100.0,0.0
29,100.0,0.0
30,100.0,0.0
31,100.0,0.0
32,100.0,0.0
33,100.0,0.0
34,100.0,0.0
35,100.0,0.0
36,100.0,0.0
37,100.0,0.0
38,100.0,0.0
39,100.0,0.0
40,100.0,0.0
41,100.0,0.0
42,100.0,0.0
43,100.0,0.0
44,100.0,0.0
45,100.0,0.0
46,100.0,0.0
47,100.0,0.0
48,100.0,0.0
49,100.0,0.0
50,100.0,0.0
51,100.0,0.0
52,100.0,0.0
53,100.0,0.0
54,100.0,0.0
55,100.0,0.0
56,100.0,0.0
57,100.0,0.0
58,100.0,0.0
59,100.0,0.0
60,100.0,0.0
61,100.0,0.0
62,100.0,0.0
63,100.0,0.0
64,100.0,0.0
65,100.0,0.0
66,100.0,0.0
67,100.0,0.0
68,100.0,0.0
69,100.0,0.0
70,100.0,0.0
71,100.0,0.0
72,100.0,0.0
73,100.0,0.0
74,100.0,0.0
75,100.0,0.0
76,100.0,0.0
77,100.0,0.0
78,100.0,0.0
79,100.0,0.0
80,100.0,0.0
81,100.0,0.0
82,100.0,0.0
83,100.0,0.0
84,100.0,0.0
85,100.0,0.0
86,100.0,0.0
87,100.0,0.0
88,100.0,0.0
89,100.0,0.0
90,100.0,0.0
91,100.0,0.0
92,100.0,0.0
93,100.0,0.0
94,100.0,0.0
95,100.0,0.0
96,100.0,0.0
97,100.0,0.0
98,100.0,0.0
99,100.0,0.0
100,100.0,0.0
101,100.0,0.0
102,100.0,0.0
103,100.0,0.0
104,100.0,0.0
105,100.0,0.0
106,100.0,0.0
107,100.0,0.0
108,100.0,0.0
109,100.0,0.0
110,100.0,0.0
111,100.0,0.0
112,100.0,0.0
113,100.0,0.0
114,100.0,0.0
115,100.0,0.0
116,100.0,0.0
117,100.0,0.0
118,100.0,0.0
119,100.0,0.0
120,100.0,0.0
121,100.0,0.0
122,100.0,0.0
123,100.0,0.0
124,100.0,0.0
125,100.0,0.0
126,100.0,0.0
127,100.0,0.0
128,100.0,0.0
129,100.0,0.0
130,100.0,0.0
131,100.0,0.0
132,100.0,0.0
133,100.0,0.0
134,100.0,0.0
135,100.0,0.0
136,100.0,0.0
137,100.0,0.0
138,100.0,0.0
139,100.0,0.0
140,100.0,0.0
141,100.0,0.0
142,100.0,0.0
143,100.0,0.0
144,100.0,0.0
145,100.0,0.0
146,100.0,0.0
147,100.0,0.0
148,100.0,0.0
149,100.0,0.0
150,100.0,0.0
151,100.0,0.0
152,100.0,0.0
153,100.0,0.0
154,100.0,0.0
155,100.0,0.0
156,100.0,0.0
157,100.0,0.0
158,100.0,0.0
159,100.0,0.0
160,100.0,0.0
161,100.0,0.0
162,100.0,0.0
163,100.0,0.0
164,100.0,0.0
165,100.0,0.0
166,100.0,0.0
167,100.0,0.0
168,100.0,0.0
169,100.0,0.0
170,100.0,0.0
171,100.0,0.0
172,100.0,0.0
173,100.0,0.0
174,100.0,0.0
175,100.0,0.0
176,100.0,0.0
177,100.0,0.0
178,100.0,0.0
179,100.0,0.0
180,100.0,0.0
181,100.0,0.0
182,100.0,0.0
183,100.0,0.0
184,100.0,0.0
185,100.0,0.0
186,100.0,0.0
187,100.0,0.0
188,100.0,0.0
189,100.0,0.0
190,100.0,0.0
191,100.0,0.0
192,100.0,0.0
193,100.0,0.0
194,100.0,0.0
195,100.0,0.0
196,100.0,0.0
197,100.0,0.0
198,100.0,0.0
199,100.0,0.0
200,100.0,0.0
201,100.0,0.0
202,100.0,0.0
203,100.0,0.0
204,100.0,0.0
205,100.0,0.0
206,100.0,0.0
207,100.0,0.0
208,100.0,0.0
209,100.0,0.0
210,100.0,0.0
211,100.0,0.0
212,100.0,0.0
213,100.0,0.0
214,100.0,0.0
215,100.0,0.0
216,100.0,0.0
217,100.0,0.0
218,100.0,0.0
219,100.0,0.0
220,100.0,0.0
221,100.0,0.0
222,100.0,0.0
223,100.0,0.0
224,100.0,0.0
225,100.0,0.0
226,100.0,0.0
227,100.0,0.0
228,100.0,0.0
229,100.0,0.0
230,100.0,0.0
231,100.0,0.0
232,100.0,0.0
233,100.0,0.0
234,100.0,0.0
235,100.0,0.0
236,100.0,0.0
237,100.0,0.0
238,100.0,0.0
239,100.0,0.0
240,100.0,0.0
241,100.0,0.0
242,100.0,0.0
243,100.0,0.0
244,100.0,0.0
245,100.0,0.0
246,100.0,0.0
247,100.0,0.0
248,100.0,0.0
249,100.0,0.0
250,100.0,0.0
251,100.0,0.0
252,100.0,0.0
253,100.0,0.0
254,100.0,0.0
255,100.0,0.0
256,100.0,0.0
257,100.0,0.0
258,100.0,0.0
259,100.0,0.0
260,100.0,0.0
261,100.0,0.0
262,100.0,0.0
263,100.0,0.0
264,100.0,0.0
265,100.0,0.0
266,100.0,0.0
267,100.0,0.0
268,100.0,0.0
269,100.0,0.0
270,100.0,0.0
271,100.0,0.0
272,100.0,0.0
273,100.0,0.0
274,100.0,0.0
275,100.0,0.0
276,100.0,0.0
277,100.0,0.0
278,100.0,0.0
279,100.0,0.0
280,100.0,0.0
281,100.0,0.0
282,100.0,0.0
283,100.0,0.0
284,100.0,0.0
285,100.0,0.0
286,100.0,0.0
287,100.0,0.0
288,100.0,0.0
289,100.0,0.0
290,100.0,0.0
291,100.0,0.0
292,100.0,0.0
293,100.0,0.0
294,100.0,0.0
295,100.0,0.0
296,100.0,0.0
297,100.0,0.0
298,100.0,0.0
299,100.0,0.0
300,100.0,0.0
301,100.0,0.0
302,100.0,0.0
303,100.0,0.0
304,100.0,0.0
305,100.0,0.0
306,100.0,0.0
307,100.0,0.0
308,100.0,0.0
309,100.0,0.0
310,100.0,0.0
311,100.0,0.0
312,100.0,0.0
313,100.0,0.0
314,100.0,0.0
315,100.0,0.0
316,100.0,0.0
317,100.0,0.0
318,100.0,0.0
319,100.0,0.0
320,100.0,0.0
321,100.0,0.0
322,100.0,0.0
323,100.0,0.0
324,100.0,0.0
325,100.0,0.0
326,100.0,0.0
327,100.0,0.0
328,100.0,0.0
329,100.0,0.0
330,100.0,0.0
331,100.0,0.0
332,100.0,0.0
333,100.0,0.0
334,100.0,0.0
335,100.0,0.0
336,100.0,0.0
337,100.0,0.0
338,100.0,0.0
339,100.0,0.0
340,100.0,0.0
341,100.0,0.0
342,100.0,0.0
343,100.0,0.0
344,100.0,0.0
345,100.0,0.0
346,100.0,0.0
347,100.0,0.0
348,100.0,0.0
349,100.0,0.0
350,100.0,0.0
351,100.0,0.0
352,100.0,0.0
353,100.0,0.0
354,100.0,0.0
355,100.0,0.0
356,100.0,0.0
357,100.0,0.0
358,100.0,0.0
359,100.0,0.0
360,100.0,0.0
361,100.0,0.0
362,100.0,0.0
363,100.0,0.0
364,100.0,0.0
365,100.0,0.0
366,100.0,0.0
367,100.0,0.0
368,100.0,0.0
369,100.0,0.0
370,100.0,0.0
371,100.0,0.0
372,100.0,0.0
373,100.0,0.0
374,100.0,0.0
375,100.0,0.0
376,100.0,0.0
377,100.0,0.0
378,100.0,0.0
379,100.0,0.0
380,100.0,0.0
381,100.0,0.0
382,100.0,0.0
383,100.0,0.0
384,100.0,0.0
385,100.0,0.0
386,100.0,0.0
387,100.0,0.0
388,100.0,0.0
389,100.0,0.0
390,100.0,0.0
391,100.0,0.0
392,100.0,0.0
393,100.0,0.0
394,100.0,0.0
395,100.0,0.0
396,100.0,0.0
397,100.0,0.0
398,100.0,0.0
399,100.0,0.0
400,100.0,0.0
401,100.0,0.0
402,100.0,0.0
403,100.0,0.0
404,100.0,0.0
405,100.0,0.0
406,100.0,0.0
407,100.0,0.0
408,100.0,0.0
409,100.0,0.0
410,100.0,0.0
411,100.0,0.0
412,100.0,0.0
413,100.0,0.0
414,100.0,0.0
415,100.0,0.0
416,100.0,0.0
417,100.0,0.0
418,100.0,0.0
419,100.0,0.0
420,100.0,0.0
421,100.0,0.0
422,100.0,0.0
423,100.0,0.0
424,100.0,0.0
425,100.0,0.0
426,100.0,0.0
427,100.0,0.0
428,100.0,0.0
429,100.0,0.0
430,100.0,0.0
431,100.0,0.0
432,100.0,0.0
433,100.0,0.0
434,100.0,0.0
435,100.0,0.0
436,100.0,0.0
437,100.0,0.0
438,100.0,0.0
439,100.0,0.0
440,100.0,0.0
441,100.0,0.0
442,100.0,0.0
443,100.0,0.0
444,100.0,0.0
445,100.0,0.0
446,100.0,0.0
447,100.0,0.0
448,100.0,0.0
449,100.0,0.0
450,100.0,0.0
451,100.0,0.0
452,100.0,0.0
453,100.0,0.0
454,100.0,0.0
455,100.0,0.0
456,100.0,0.0
457,100.0,0.0
458,100.0,0.0
459,100.0,0.0
460,100.0,0.0
461,100.0,0.0
462,100.0,0.0
463,100.0,0.0
464,100.0,0.0
465,100.0,0.0
466,100.0,0.0
467,100.0,0.0
468,100.0,0.0
469,100.0,0.0
470,100.0,0.0
471,100.0,0.0
472,100.0,0.0
473,100.0,0.0
474,100.0,0.0
475,100.0,0.0
476,100.0,0.0
477,100.0,0.0
478,100.0,0.0
479,100.0,0.0
480,100.0,0.0
481,100.0,0.0
482,100.0,0.0
483,100.0,0.0
484,100.0,0.0
485,100.0,0.0
486,100.0,0.0
487,100.0,0.0
488,100.0,0.0
489,100.0,0.0
490,100.0,0.0
491,100.0,0.0
492,100.0,0.0
493,100.0,0.0
494,100.0,0.0
495,100.0,0.0
496,100.0,0.0
497,100.0,0.0
498,100.0,0.0
499,100.0,0.0
500,100.0,0.0
501,100.0,0.0
502,100.0,0.0
503,100.0,0.0
504,100.0,0.0
505,100.0,0.0
506,100.0,0.0
507,100.0,0.0
508,100.0,0.0
509,100.0,0.0
510,100.0,0.0
511,100.0,0.0
512,99.95,0.22360679774997896
513,99.95,0.22360679774997896
514,99.95,0.22360679774997896
515,99.95,0.22360679774997896
516,99.95,0.22360679774997896
517,99.95,0.22360679774997896
518,99.9,0.30779350562554625
519,99.85,0.36634754853252327
520,99.85,0.36634754853252327
521,99.85,0.36634754853252327
522,99.85,0.36634754853252327
523,99.85,0.36634754853252327
524,99.85,0.36634754853252327
525,99.85,0.36634754853252327
526,99.85,0.36634754853252327
527,99.85,0.36634754853252327
528,99.85,0.36634754853252327
529,99.8,0.41039134083406154
530,99.8,0.41039134083406154
531,99.8,0.41039134083406154
532,99.8,0.41039134083406154
533,99.75,0.5501196042201808
534,99.65,0.5871429486123998
535,99.65,0.5871429486123998
536,99.65,0.5871429486123998
537,99.5,0.6882472016116853
538,99.5,0.6882472016116853
539,99.5,0.6882472016116853
540,99.5,0.6882472016116853
541,99.5,0.6882472016116853
542,99.5,0.6882472016116853
543,99.5,0.6882472016116853
544,99.45,0.7591546545162481
545,99.4,0.7539370349250518
546,99.4,0.7539370349250518
547,99.4,0.7539370349250518
548,99.35,0.8127277008872488
549,99.2,0.9514531821875089
550,99.2,0.9514531821875089
551,99.1,1.1192102478745305
552,99.1,1.1192102478745305
553,99.0,1.2977713690461004
554,98.9,1.4832396974191324
555,98.8,1.542383664469075
556,98.8,1.542383664469075
557,98.75,1.6181535936466533
558,98.75,1.6181535936466533
559,98.7,1.6254554017744978
560,98.65,1.5985190514644285
561,98.65,1.5985190514644285
562,98.5,1.7621756887140216
563,98.4,1.7290094517412349
564,98.3,1.9493588689617931
565,98.1,1.8890264827766656
566,98.1,1.8890264827766656
567,97.85,2.0332758116684
568,97.75,2.1244194253340942
569,97.6,2.2571523745873394
570,97.45,2.480980281641661
571,97.35,2.5603248149199236
572,97.3,2.6773907172154723
573,97.25,2.712058841156426
574,97.0,3.0435436410107286
575,96.95,3.017056774233353
576,96.7,3.2134585401827866
577,96.5,3.2363071872933067
578,96.3,3.197038102928858
579,96.05,3.634266739913583
580,95.85,3.8426279384926416
581,95.65,4.246050796731129
582,95.35,4.533791256541785
583,95.35,4.533791256541785
584,95.1,4.887147483585469
585,94.7,5.2924971720152545
586,94.5,5.66150435652463
587,94.35,5.824404193608674
588,94.15,5.887319111088636
589,94.0,5.884860146797749
590,93.8,5.791100249975228
591,93.7,5.722531644390674
592,93.4,5.6791400386808
593,93.3,5.867842784820366
594,93.15,5.860438280718028
595,92.65,5.751658799630626
596,92.35,5.70572196640309
597,92.15,5.869412236331676
598,91.95,6.210983480051584
599,91.9,6.172093392205376
600,91.55,6.10844971287616
601,91.35,6.4094913173643056
602,91.2,6.379242654273723
603,90.9,6.340346993658944
604,90.75,6.536335686799318
605,90.1,6.61656613119079
606,89.85,6.595652475604469
607,89.75,6.600438581918948
608,89.5,6.629281139086849
609,89.3,6.602232477292096
610,89.05,6.692297221826237
611,88.8,6.526061115574273
612,88.5,6.778448821157583
613,88.15,6.968160672508545
614,87.85,7.020833658701642
615,87.3,7.108926930645944
616,86.8,7.12002365460293
617,86.55,7.133870286398393
618,85.9,7.819678281173251
619,85.6,7.98946674987564
620,85.2,8.023649255072224
621,84.6,8.210391361913844
622,84.3,8.404885797151433
623,83.95,8.611345026062695
624,83.35,8.677102354078688
625,82.6,8.934851926437753
626,82.25,8.949419269603917
627,82.0,9.055385138137417
628,81.55,8.994003850519405
629,81.25,8.884492699435112
630,80.75,8.961173560362916
631,79.95,8.822668172622755
632,79.0,9.002923501782483
633,78.05,8.911701355668937
634,77.6,8.641393649783948
635,77.35,8.616233149364664
636,77.05,8.611345026062697
637,76.65,8.511756575466665
638,76.2,8.853188542464293
639,75.75,8.704959264090423
640,74.8,9.157108254189604
641,74.45,9.092941160447944
642,74.05,8.94118207185746
643,73.7,8.985953951643232
644,73.15,9.051170322700061
645,72.8,9.053059965384197
646,72.15,8.857200460642177
647,71.45,8.72066511224918
648,70.95,8.654022490331181
649,70.4,8.425525128097984
650,69.9,8.384823382629758
651,69.15,8.58563672040326
652,68.75,8.509282856788937
653,68.5,8.506963092234006
654,68.0,8.466652852592683
655,67.3,8.47969711474972
656,67.05,8.525349197972387
657,66.35,8.530286599738853
658,65.9,8.378544026261364
659,65.5,8.463544112685208
660,64.8,8.300919416419768
661,64.05,8.236472162534792
662,63.7,8.25322903315328
663,62.95,8.068620178131289
664,62.4,8.009205230299235
665,61.9,7.886697661252141
666,61.0,8.039376776054748
667,60.35,7.583048963243437
668,60.0,7.739169002037961
669,59.3,7.834471735121714
670,58.95,7.728791013238474
671,58.2,7.756830606158135
672,57.75,7.886530822931755
673,56.9,8.103930170634882
674,56.55,8.300126822112896
675,55.75,8.49690346073513
676,54.8,8.49519988302992
677,53.95,8.641850435373689
678,53.4,8.500154797352067
679,52.75,8.289974922189229
680,52.25,8.16201084614763
681,51.7,8.18278037936019
682,51.1,8.315489668146586
683,50.75,8.390941230686943
684,50.0,8.40425957163202
685,49.4,8.31232439466274
686,48.9,8.123390528850038
687,48.35,7.875845819238785
688,47.75,7.649389380515077
689,47.3,7.698940460253367
690,46.7,7.650937335076216
691,46.0,7.874007874011811
692,45.75,7.758696309371351
693,44.9,7.873339423917309
694,44.25,7.866484535506849
695,43.55,7.877182237323192
696,42.9,7.826406044855286
697,42.4,8.035447781712701
698,41.85,7.7952414634624505
699,41.35,8.20317653492584
700,40.35,8.247966256503542
701,39.5,8.120798508832284
702,38.55,7.742398649133566
