Algorithm,Seed,NodeID,CHSelections
DEEC,0,0,29
DEEC,0,1,26
DEEC,0,2,37
DEEC,0,3,33
DEEC,0,4,40
DEEC,0,5,16
DEEC,0,6,34
DEEC,0,7,25
DEEC,0,8,36
DEEC,0,9,33
DEEC,0,10,26
DEEC,0,11,18
DEEC,0,12,33
DEEC,0,13,25
DEEC,0,14,19
DEEC,0,15,24
DEEC,0,16,30
DEEC,0,17,46
DEEC,0,18,22
DEEC,0,19,31
DEEC,0,20,17
DEEC,0,21,21
DEEC,0,22,26
DEEC,0,23,52
DEEC,0,24,29
DEEC,0,25,27
DEEC,0,26,20
DEEC,0,27,22
DEEC,0,28,26
DEEC,0,29,31
DEEC,0,30,26
DEEC,0,31,23
DEEC,0,32,18
DEEC,0,33,40
DEEC,0,34,35
DEEC,0,35,26
DEEC,0,36,41
DEEC,0,37,32
DEEC,0,38,25
DEEC,0,39,39
DEEC,0,40,25
DEEC,0,41,19
DEEC,0,42,20
DEEC,0,43,27
DEEC,0,44,21
DEEC,0,45,27
DEEC,0,46,22
DEEC,0,47,19
DEEC,0,48,36
DEEC,0,49,34
DEEC,0,50,36
DEEC,0,51,18
DEEC,0,52,29
DEEC,0,53,32
DEEC,0,54,43
DEEC,0,55,19
DEEC,0,56,20
DEEC,0,57,19
DEEC,0,58,25
DEEC,0,59,38
DEEC,0,60,37
DEEC,0,61,45
DEEC,0,62,36
DEEC,0,63,27
DEEC,0,64,37
DEEC,0,65,20
DEEC,0,66,33
DEEC,0,67,22
DEEC,0,68,18
DEEC,0,69,33
DEEC,0,70,21
DEEC,0,71,16
DEEC,0,72,27
DEEC,0,73,31
DEEC,0,74,35
DEEC,0,75,35
DEEC,0,76,40
DEEC,0,77,29
DEEC,0,78,24
DEEC,0,79,24
DEEC,0,80,20
DEEC,0,81,37
DEEC,0,82,25
DEEC,0,83,26
DEEC,0,84,29
DEEC,0,85,29
DEEC,0,86,26
DEEC,0,87,17
DEEC,0,88,34
DEEC,0,89,17
DEEC,0,90,34
DEEC,0,91,22
DEEC,0,92,40
DEEC,0,93,27
DEEC,0,94,20
DEEC,0,95,36
DEEC,0,96,26
DEEC,0,97,34
DEEC,0,98,20
DEEC,0,99,47
DEEC,1,0,37
DEEC,1,1,21
DEEC,1,2,25
DEEC,1,3,25
DEEC,1,4,38
DEEC,1,5,26
DEEC,1,6,20
DEEC,1,7,21
DEEC,1,8,50
DEEC,1,9,21
DEEC,1,10,26
DEEC,1,11,34
DEEC,1,12,29
DEEC,1,13,40
DEEC,1,14,39
DEEC,1,15,31
DEEC,1,16,25
DEEC,1,17,26
DEEC,1,18,16
DEEC,1,19,27
DEEC,1,20,28
DEEC,1,21,17
DEEC,1,22,27
DEEC,1,23,30
DEEC,1,24,32
DEEC,1,25,30
DEEC,1,26,27
DEEC,1,27,29
DEEC,1,28,30
DEEC,1,29,34
DEEC,1,30,36
DEEC,1,31,27
DEEC,1,32,26
DEEC,1,33,26
DEEC,1,34,30
DEEC,1,35,17
DEEC,1,36,46
DEEC,1,37,38
DEEC,1,38,33
DEEC,1,39,40
DEEC,1,40,16
DEEC,1,41,29
DEEC,1,42,29
DEEC,1,43,30
DEEC,1,44,18
DEEC,1,45,32
DEEC,1,46,36
DEEC,1,47,15
DEEC,1,48,17
DEEC,1,49,31
DEEC,1,50,40
DEEC,1,51,26
DEEC,1,52,25
DEEC,1,53,25
DEEC,1,54,33
DEEC,1,55,18
DEEC,1,56,20
DEEC,1,57,41
DEEC,1,58,31
DEEC,1,59,19
DEEC,1,60,26
DEEC,1,61,18
DEEC,1,62,33
DEEC,1,63,22
DEEC,1,64,35
DEEC,1,65,16
DEEC,1,66,31
DEEC,1,67,34
DEEC,1,68,30
DEEC,1,69,38
DEEC,1,70,40
DEEC,1,71,18
DEEC,1,72,46
DEEC,1,73,19
DEEC,1,74,37
DEEC,1,75,25
DEEC,1,76,38
DEEC,1,77,30
DEEC,1,78,32
DEEC,1,79,27
DEEC,1,80,33
DEEC,1,81,31
DEEC,1,82,25
DEEC,1,83,14
DEEC,1,84,38
DEEC,1,85,30
DEEC,1,86,30
DEEC,1,87,41
DEEC,1,88,24
DEEC,1,89,22
DEEC,1,90,24
DEEC,1,91,29
DEEC,1,92,22
DEEC,1,93,38
DEEC,1,94,23
DEEC,1,95,33
DEEC,1,96,25
DEEC,1,97,26
DEEC,1,98,19
DEEC,1,99,44
DEEC,2,0,20
DEEC,2,1,24
DEEC,2,2,37
DEEC,2,3,32
DEEC,2,4,30
DEEC,2,5,38
DEEC,2,6,19
DEEC,2,7,30
DEEC,2,8,31
DEEC,2,9,22
DEEC,2,10,26
DEEC,2,11,26
DEEC,2,12,33
DEEC,2,13,37
DEEC,2,14,27
DEEC,2,15,26
DEEC,2,16,39
DEEC,2,17,30
DEEC,2,18,19
DEEC,2,19,47
