Round,Mean,Std
1,4.9,2.1980852911951394
2,5.9,2.7125439603519985
3,5.55,2.327750212679956
4,5.85,2.007223796297028
5,4.3,2.1299864096428314
6,5.15,2.007223796297028
7,4.65,1.9808291724745768
8,3.8,2.284962282309918
9,5.05,1.6050905860647506
10,5.95,1.5035046776746235
11,5.15,1.7554426642213128
12,5.95,3.0170567742333536
13,4.25,1.996707816698066
14,5.5,2.115108557622118
15,5.5,2.6056618514708556
16,5.6,2.6237779110122466
17,5.1,2.673456268775053
18,6.6,2.7606254058779776
19,0.2,0.4103913408340617
20,0.55,0.8255779474818966
21,0.4,0.6805570473787207
22,0.85,0.9333020044867297
23,1.1,0.9679060415469872
24,2.05,1.669383750149485
25,2.45,1.1459310165698642
26,2.25,1.164157703189193
27,2.65,1.2680278927697548
28,3.05,2.038446260732605
29,4.2,1.7044832524535807
30,4.25,1.8317377426626162
31,5.55,1.9049796241485242
32,5.6,2.521486612465374
33,7.2,2.330574810506717
34,7.1,2.95403381657585
35,9.55,3.4408536272574173
36,10.35,4.05585995813465
37,14.45,3.516502448980266
38,2.9,1.7137217117324381
39,3.15,2.1343062474478063
40,0.65,0.9333020044867296
41,0.65,0.6708203932499369
42,0.75,1.019545822516343
43,0.9,0.9119095061289915
44,0.9,0.8522416262267904
45,1.15,0.9333020044867297
46,1.2,1.0052493799000692
47,1.75,1.2085223687584246
48,1.7,1.218281792655455
49,1.55,1.503504677674624
50,3.0,1.8918106058538346
51,4.05,2.0894471693929497
52,5.5,1.877848713148555
53,7.0,2.3395906074624073
54,8.05,2.799906013460189
55,12.1,2.5935141776118527
56,21.05,4.006245124802026
57,3.8,2.0157276340658834
58,4.95,1.9049796241485244
59,6.35,2.942877217246665
60,0.9,0.9679060415469872
61,1.0,0.8583950752789521
62,0.75,0.7163503994113789
63,1.45,1.6375527311718607
64,1.05,1.190974832912761
65,0.65,0.9333020044867295
66,1.2,0.9514531821875087
67,1.75,1.6181535936466533
68,0.9,0.8522416262267904
69,1.65,1.3088765773505315
70,2.5,1.538967528127731
71,2.95,2.038446260732605
72,4.75,1.9159991209755154
73,6.25,2.881428739175649
74,9.8,2.7644357947251903
75,23.9,3.5377661700124006
76,3.0,1.4142135623730951
77,4.15,1.7252002172135512
78,5.85,2.3680993933621335
79,10.65,4.120232492162753
80,1.3,0.8013147091860319
81,1.55,1.3562719801759993
82,1.4,1.353358395757909
83,1.6,1.2732056517228265
84,1.4,1.0462967275611939
85,1.3,0.8645047258706174
86,1.35,1.2258187382102497
87,1.35,0.812727700887249
88,1.6,1.3917047478769187
89,1.95,1.3562719801759993
90,1.85,0.9880869341680844
91,2.95,1.820208200931103
92,3.85,2.0332758116683998
93,8.2,2.876401260347088
94,22.25,4.85446078093996
95,2.5,1.877848713148555
96,2.85,1.7252002172135512
97,3.9,1.3726654823065196
98,5.5,2.328315406378386
99,11.05,4.032434291565019
100,1.8,1.7350868323485926
101,2.25,1.2085223687584246
102,2.65,1.5312533566021211
103,2.9,1.252366181526625
104,2.55,1.3168942730211068
105,1.35,1.5652475842498528
106,2.4,1.6670175069329813
107,2.9,1.8324559303956276
108,2.75,1.51744244666721
109,2.25,1.7129537431920892
110,2.45,1.932410548076104
111,2.75,1.6819474927657678
112,5.75,2.381397201556042
113,15.25,4.228661602371183
114,2.4,1.6670175069329813
115,2.35,1.5985190514644287
116,2.8,2.5047323630532494
117,4.05,1.79105966869954
118,5.0,2.0
119,11.55,3.5165024489802663
120,2.25,1.7129537431920892
121,3.3,1.688973528196155
122,3.45,2.211810403980842
123,4.0,1.8918106058538346
124,5.1,2.125038699338017
125,5.25,2.510504247944498
126,1.9,1.2937094768634556
127,1.35,1.1367080817685318
128,2.55,2.0384462607326044
129,2.35,1.6630662866176473
130,2.65,2.2070461326349626
131,5.7,2.319255778999171
132,11.15,3.2488864489074927
133,1.55,1.050062654772261
134,2.65,1.348488432516786
135,3.0,1.4509525002200232
136,3.15,1.3869694338832113
137,4.0,1.8353258709644942
138,5.0,2.0
139,11.1,3.7261522414302655
140,2.9,1.3726654823065194
141,3.25,1.6181535936466533
142,5.5,2.481510575605533
143,6.7,2.4083189157584592
144,2.85,1.6630662866176475
145,2.1,1.5525869752736796
146,4.1,2.2454632624823536
147,2.2,1.5423836644690752
148,2.5,1.6059101370939324
149,3.15,1.954078056944394
150,5.05,2.258900524358558
151,9.55,3.748332962798262
152,2.4,1.465390194130093
153,2.7,0.9233805168766387
154,2.95,1.8202082009311031
155,2.4,2.010498759800138
156,3.1,1.8035053587243284
157,4.7,2.202868942753374
158,4.95,2.5438263760679396
159,11.35,3.6168465473902014
160,5.7,2.1545545393788235
161,8.7,2.4516374764204993
162,1.15,1.1821033884786183
163,1.9,1.651155894963793
164,2.4,1.7290094517412349
165,2.05,1.637552731171861
166,2.9,1.7740824166460338
167,4.7,2.2266330494363245
168,2.75,1.3717065820970682
169,5.0,2.051956704170308
170,8.7,2.4083189157584592
171,2.05,1.4317821063276355
172,2.3,1.3416407864998738
173,2.95,2.4165002967536604
174,2.95,1.669383750149485
175,3.55,1.6693837501494848
176,3.0,2.4279079146675357
177,5.45,1.9861361590045288
178,7.65,3.216323497738569
179,17.8,2.8395700193404005
180,1.85,1.4244112357114616
181,2.1,1.2937094768634556
182,2.2,1.2814465510343749
183,2.25,1.6503588126605426
184,2.2,1.823819012257983
185,2.15,2.207046132634963
186,2.8,1.5078740698501039
187,3.7,2.4083189157584592
188,6.8,2.483630619200766
189,8.4,2.7414940221864814
190,1.7,1.4545753585442767
191,1.9,1.3337718577107005
192,2.4,1.7888543819998317
193,2.15,1.1821033884786185
194,2.7,1.4903196407411894
195,4.0,1.5559732104309982
196,6.2,2.6277867413271454
197,14.65,2.758241239783443
198,3.3,1.6889735281961553
199,8.0,2.7909628596974425
200,1.95,0.9986833437344549
201,2.25,1.164157703189193
202,3.1,2.04939015319192
203,2.95,2.3502519461807316
204,2.4,1.4290224851827542
205,3.6,1.6670175069329811
206,3.1,1.1192102478745307
207,4.1,1.744163198544762
208,8.7,3.614299087615307
209,4.65,2.1830688201896455
210,1.85,0.9880869341680845
211,2.45,1.7614288458371992
212,2.25,1.9159991209755154
213,3.45,1.190974832912761
214,4.2,1.5761378513048248
215,10.75,2.9177316351468727
216,2.9,1.970840055995359
217,4.0,1.7167901505579042
218,4.5,2.305599590927317
219,9.75,3.0928610498508027
220,3.7,2.1545545393788235
221,1.95,1.050062654772261
222,2.25,1.0699237552766379
223,2.35,1.4608937423083819
224,2.6,1.535543791899829
225,3.25,1.5517392618742702
226,4.8,2.483630619200766
227,7.75,3.781882015471578
228,2.8,1.1964860832322377
229,3.65,1.663066286617647
230,4.95,1.932410548076104
231,2.8,1.6415653633362466
232,4.9,2.100125309544522
233,7.85,2.9784312366712355
234,3.1,2.291862033139728
235,3.3,2.0799797569865155
236,3.95,2.1878853044122666
237,5.8,3.036618618064993
238,3.7,1.8945906376340318
239,8.8,2.041671142136162
240,2.3,1.5252264715358452
241,2.85,1.6944180805158293
242,2.2,1.4725559590832462
243,2.2,1.281446551034375
244,2.9,1.860956177543373
245,4.25,1.9701723141310308
246,7.0,2.7909628596974425
247,2.4,1.9574419397183715
248,2.8,2.2147828692435603
249,3.6,0.99472291830968
250,5.55,1.4317821063276355
251,9.9,2.7510763443844266
252,3.9,2.653696528082647
