Algorithm,Seed,NodeID,DeathRound
DEEC,0,0,710
DEEC,0,1,673
DEEC,0,2,724
DEEC,0,3,726
DEEC,0,4,757
DEEC,0,5,578
DEEC,0,6,733
DEEC,0,7,683
DEEC,0,8,720
DEEC,0,9,689
DEEC,0,10,699
DEEC,0,11,587
DEEC,0,12,711
DEEC,0,13,677
DEEC,0,14,603
DEEC,0,15,655
DEEC,0,16,677
DEEC,0,17,765
DEEC,0,18,613
DEEC,0,19,703
DEEC,0,20,576
DEEC,0,21,628
DEEC,0,22,635
DEEC,0,23,770
DEEC,0,24,708
DEEC,0,25,666
DEEC,0,26,632
DEEC,0,27,625
DEEC,0,28,632
DEEC,0,29,702
DEEC,0,30,678
DEEC,0,31,641
DEEC,0,32,577
DEEC,0,33,730
DEEC,0,34,742
DEEC,0,35,698
DEEC,0,36,748
DEEC,0,37,700
DEEC,0,38,669
DEEC,0,39,736
DEEC,0,40,685
DEEC,0,41,618
DEEC,0,42,640
DEEC,0,43,677
DEEC,0,44,649
DEEC,0,45,681
DEEC,0,46,657
DEEC,0,47,629
DEEC,0,48,720
DEEC,0,49,715
DEEC,0,50,722
DEEC,0,51,616
DEEC,0,52,667
DEEC,0,53,719
DEEC,0,54,749
DEEC,0,55,618
DEEC,0,56,631
DEEC,0,57,625
DEEC,0,58,642
DEEC,0,59,740
DEEC,0,60,726
DEEC,0,61,748
DEEC,0,62,716
DEEC,0,63,693
DEEC,0,64,740
DEEC,0,65,631
DEEC,0,66,688
DEEC,0,67,649
DEEC,0,68,580
DEEC,0,69,702
DEEC,0,70,612
DEEC,0,71,560
DEEC,0,72,686
DEEC,0,73,690
DEEC,0,74,728
DEEC,0,75,720
DEEC,0,76,739
DEEC,0,77,688
DEEC,0,78,655
DEEC,0,79,661
DEEC,0,80,588
DEEC,0,81,732
DEEC,0,82,647
DEEC,0,83,685
DEEC,0,84,716
DEEC,0,85,694
DEEC,0,86,660
DEEC,0,87,595
DEEC,0,88,719
DEEC,0,89,592
DEEC,0,90,732
DEEC,0,91,648
DEEC,0,92,738
DEEC,0,93,670
DEEC,0,94,634
DEEC,0,95,726
DEEC,0,96,688
DEEC,0,97,726
DEEC,0,98,618
DEEC,0,99,762
DEEC,1,0,741
DEEC,1,1,628
DEEC,1,2,687
DEEC,1,3,651
DEEC,1,4,743
DEEC,1,5,691
DEEC,1,6,631
DEEC,1,7,663
DEEC,1,8,758
DEEC,1,9,627
DEEC,1,10,669
DEEC,1,11,726
DEEC,1,12,693
DEEC,1,13,745
DEEC,1,14,747
DEEC,1,15,722
DEEC,1,16,639
DEEC,1,17,667
DEEC,1,18,592
DEEC,1,19,691
DEEC,1,20,704
DEEC,1,21,605
DEEC,1,22,698
DEEC,1,23,710
DEEC,1,24,703
DEEC,1,25,721
DEEC,1,26,710
DEEC,1,27,718
DEEC,1,28,723
DEEC,1,29,716
DEEC,1,30,740
DEEC,1,31,686
DEEC,1,32,690
DEEC,1,33,679
DEEC,1,34,679
DEEC,1,35,625
DEEC,1,36,751
DEEC,1,37,742
DEEC,1,38,728
DEEC,1,39,743
DEEC,1,40,553
DEEC,1,41,702
DEEC,1,42,703
DEEC,1,43,705
DEEC,1,44,596
DEEC,1,45,704
DEEC,1,46,732
DEEC,1,47,537
DEEC,1,48,610
DEEC,1,49,700
DEEC,1,50,741
DEEC,1,51,663
DEEC,1,52,663
DEEC,1,53,676
DEEC,1,54,722
DEEC,1,55,613
DEEC,1,56,652
DEEC,1,57,735
DEEC,1,58,707
DEEC,1,59,628
DEEC,1,60,660
DEEC,1,61,604
DEEC,1,62,709
DEEC,1,63,638
DEEC,1,64,723
DEEC,1,65,578
DEEC,1,66,726
DEEC,1,67,741
DEEC,1,68,704
DEEC,1,69,745
DEEC,1,70,751
DEEC,1,71,576
DEEC,1,72,755
DEEC,1,73,614
DEEC,1,74,747
DEEC,1,75,685
DEEC,1,76,740
DEEC,1,77,702
DEEC,1,78,719
DEEC,1,79,659
DEEC,1,80,702
DEEC,1,81,710
DEEC,1,82,657
DEEC,1,83,544
DEEC,1,84,751
DEEC,1,85,724
DEEC,1,86,710
DEEC,1,87,744
DEEC,1,88,678
DEEC,1,89,646
DEEC,1,90,670
DEEC,1,91,730
DEEC,1,92,666
DEEC,1,93,737
DEEC,1,94,651
DEEC,1,95,722
DEEC,1,96,674
DEEC,1,97,669
DEEC,1,98,585
DEEC,1,99,743
DEEC,2,0,634
DEEC,2,1,651
DEEC,2,2,724
DEEC,2,3,702
DEEC,2,4,708
DEEC,2,5,734
DEEC,2,6,633
DEEC,2,7,692
DEEC,2,8,722
DEEC,2,9,649
DEEC,2,10,647
DEEC,2,11,677
DEEC,2,12,703
DEEC,2,13,760
DEEC,2,14,671
DEEC,2,15,673
DEEC,2,16,739
DEEC,2,17,691
DEEC,2,18,592
DEEC,2,19,776
DEEC,2,20,683
DEEC,2,21,673
DEEC,2,22,615
DEEC,2,23,681
DEEC,2,24,657
DEEC,2,25,651
DEEC,2,26,664
DEEC,2,27,727
DEEC,2,28,700
DEEC,2,29,762
DEEC,2,30,632
DEEC,2,31,665
DEEC,2,32,716
DEEC,2,33,724
DEEC,2,34,717
DEEC,2,35,612
DEEC,2,36,679
DEEC,2,37,693
DEEC,2,38,674
DEEC,2,39,701
DEEC,2,40,689
DEEC,2,41,634
DEEC,2,42,701
DEEC,2,43,649
DEEC,2,44,667
DEEC,2,45,728
DEEC,2,46,609
DEEC,2,47,759
DEEC,2,48,706
DEEC,2,49,651
DEEC,2,50,594
DEEC,2,51,634
DEEC,2,52,647
DEEC,2,53,740
DEEC,2,54,667
DEEC,2,55,717
DEEC,2,56,709
DEEC,2,57,612
DEEC,2,58,693
DEEC,2,59,693
DEEC,2,60,661
DEEC,2,61,704
DEEC,2,62,713
DEEC,2,63,754
DEEC,2,64,655
DEEC,2,65,755
DEEC,2,66,725
DEEC,2,67,636
DEEC,2,68,687
DEEC,2,69,679
DEEC,2,70,765
DEEC,2,71,631
DEEC,2,72,666
DEEC,2,73,727
DEEC,2,74,709
DEEC,2,75,634
DEEC,2,76,720
DEEC,2,77,650
DEEC,2,78,684
DEEC,2,79,685
DEEC,2,80,661
DEEC,2,81,662
DEEC,2,82,650
DEEC,2,83,661
DEEC,2,84,633
DEEC,2,85,651
DEEC,2,86,700
DEEC,2,87,709
DEEC,2,88,745
DEEC,2,89,708
DEEC,2,90,699
DEEC,2,91,700
DEEC,2,92,784
DEEC,2,93,715
DEEC,2,94,783
DEEC,2,95,647
DEEC,2,96,648
DEEC,2,97,702
DEEC,2,98,639
DEEC,2,99,606
DEEC,3,0,695
DEEC,3,1,723
DEEC,3,2,654
DEEC,3,3,616
DEEC,3,4,685
DEEC,3,5,616
DEEC,3,6,701
DEEC,3,7,697
DEEC,3,8,737
DEEC,3,9,671
DEEC,3,10,738
DEEC,3,11,675
DEEC,3,12,701
DEEC,3,13,680
DEEC,3,14,656
DEEC,3,15,700
DEEC,3,16,667
DEEC,3,17,680
DEEC,3,18,686
DEEC,3,19,716
DEEC,3,20,681
DEEC,3,21,631
DEEC,3,22,685
DEEC,3,23,727
DEEC,3,24,666
DEEC,3,25,616
DEEC,3,26,605
DEEC,3,27,652
DEEC,3,28,712
DEEC,3,29,737
DEEC,3,30,697
DEEC,3,31,711
DEEC,3,32,653
DEEC,3,33,642
DEEC,3,34,747
DEEC,3,35,657
DEEC,3,36,751
DEEC,3,37,646
DEEC,3,38,756
DEEC,3,39,690
DEEC,3,40,736
DEEC,3,41,663
DEEC,3,42,713
DEEC,3,43,591
DEEC,3,44,710
DEEC,3,45,748
DEEC,3,46,637
DEEC,3,47,734
DEEC,3,48,737
DEEC,3,49,679
DEEC,3,50,663
DEEC,3,51,728
DEEC,3,52,703
DEEC,3,53,732
DEEC,3,54,697
DEEC,3,55,743
DEEC,3,56,727
DEEC,3,57,662
DEEC,3,58,648
DEEC,3,59,688
DEEC,3,60,741
DEEC,3,61,713
DEEC,3,62,582
DEEC,3,63,670
DEEC,3,64,694
DEEC,3,65,705
DEEC,3,66,690
DEEC,3,67,686
DEEC,3,68,643
DEEC,3,69,678
DEEC,3,70,648
DEEC,3,71,642
DEEC,3,72,664
DEEC,3,73,721
DEEC,3,74,756
DEEC,3,75,679
DEEC,3,76,666
DEEC,3,77,652
DEEC,3,78,684
DEEC,3,79,585
DEEC,3,80,706
DEEC,3,81,600
DEEC,3,82,599
DEEC,3,83,759
DEEC,3,84,720
DEEC,3,85,642
DEEC,3,86,753
DEEC,3,87,726
DEEC,3,88,632
DEEC,3,89,761
DEEC,3,90,743
DEEC,3,91,732
DEEC,3,92,691
DEEC,3,93,673
DEEC,3,94,755
DEEC,3,95,762
DEEC,3,96,671
DEEC,3,97,690
DEEC,3,98,619
DEEC,3,99,696
DEEC,4,0,729
DEEC,4,1,670
DEEC,4,2,575
DEEC,4,3,721
DEEC,4,4,770
DEEC,4,5,648
DEEC,4,6,785
DEEC,4,7,764
DEEC,4,8,629
DEEC,4,9,741
DEEC,4,10,739
DEEC,4,11,667
DEEC,4,12,671
DEEC,4,13,681
DEEC,4,14,585
DEEC,4,15,682
DEEC,4,16,715
DEEC,4,17,705
DEEC,4,18,631
DEEC,4,19,744
DEEC,4,20,699
DEEC,4,21,738
DEEC,4,22,624
DEEC,4,23,730
DEEC,4,24,695
DEEC,4,25,592
DEEC,4,26,739
DEEC,4,27,722
DEEC,4,28,750
DEEC,4,29,653
DEEC,4,30,633
DEEC,4,31,682
DEEC,4,32,664
DEEC,4,33,664
DEEC,4,34,754
DEEC,4,35,652
DEEC,4,36,737
DEEC,4,37,675
DEEC,4,38,731
DEEC,4,39,620
DEEC,4,40,721
DEEC,4,41,784
DEEC,4,42,728
DEEC,4,43,685
DEEC,4,44,658
DEEC,4,45,588
DEEC,4,46,629
DEEC,4,47,686
DEEC,4,48,700
DEEC,4,49,727
DEEC,4,50,611
DEEC,4,51,632
DEEC,4,52,712
DEEC,4,53,678
DEEC,4,54,675
DEEC,4,55,716
DEEC,4,56,629
DEEC,4,57,732
DEEC,4,58,633
DEEC,4,59,646
DEEC,4,60,665
DEEC,4,61,773
DEEC,4,62,701
DEEC,4,63,741
DEEC,4,64,654
DEEC,4,65,644
DEEC,4,66,628
DEEC,4,67,753
DEEC,4,68,620
DEEC,4,69,633
DEEC,4,70,666
DEEC,4,71,771
DEEC,4,72,703
DEEC,4,73,686
DEEC,4,74,742
DEEC,4,75,695
DEEC,4,76,694
DEEC,4,77,678
DEEC,4,78,595
DEEC,4,79,646
DEEC,4,80,696
DEEC,4,81,563
DEEC,4,82,615
DEEC,4,83,704
DEEC,4,84,676
DEEC,4,85,695
DEEC,4,86,707
DEEC,4,87,654
DEEC,4,88,661
DEEC,4,89,693
DEEC,4,90,670
DEEC,4,91,660
DEEC,4,92,746
DEEC,4,93,664
DEEC,4,94,669
DEEC,4,95,771
DEEC,4,96,762
DEEC,4,97,706
DEEC,4,98,707
DEEC,4,99,675
DEEC,5,0,750
DEEC,5,1,687
DEEC,5,2,700
DEEC,5,3,567
DEEC,5,4,640
DEEC,5,5,677
DEEC,5,6,677
DEEC,5,7,648
DEEC,5,8,630
DEEC,5,9,749
DEEC,5,10,622
DEEC,5,11,585
DEEC,5,12,697
DEEC,5,13,633
DEEC,5,14,745
DEEC,5,15,741
DEEC,5,16,675
DEEC,5,17,588
DEEC,5,18,651
DEEC,5,19,712
DEEC,5,20,697
DEEC,5,21,731
DEEC,5,22,569
DEEC,5,23,579
DEEC,5,24,654
DEEC,5,25,696
DEEC,5,26,735
DEEC,5,27,745
DEEC,5,28,657
DEEC,5,29,675
DEEC,5,30,577
DEEC,5,31,676
DEEC,5,32,568
DEEC,5,33,735
DEEC,5,34,620
DEEC,5,35,663
DEEC,5,36,747
DEEC,5,37,665
DEEC,5,38,626
DEEC,5,39,724
DEEC,5,40,697
DEEC,5,41,648
DEEC,5,42,652
DEEC,5,43,574
DEEC,5,44,616
DEEC,5,45,579
DEEC,5,46,644
DEEC,5,47,668
DEEC,5,48,727
DEEC,5,49,728
DEEC,5,50,567
DEEC,5,51,680
DEEC,5,52,702
DEEC,5,53,665
DEEC,5,54,691
DEEC,5,55,675
DEEC,5,56,674
DEEC,5,57,651
DEEC,5,58,666
DEEC,5,59,660
DEEC,5,60,668
DEEC,5,61,706
DEEC,5,62,694
DEEC,5,63,672
DEEC,5,64,679
DEEC,5,65,703
DEEC,5,66,562
