Round,Mean,Std
1,1.5711134713656937e-06,5.777380234551771e-07
2,2.9609448459673326e-06,8.10835659683164e-07
3,4.200884497200878e-06,9.672427452627219e-07
4,5.28587980003785e-06,1.2597243608451545e-06
5,6.903548085501888e-06,1.3784291678336842e-06
6,7.85647381900669e-06,1.4198404254745025e-06
7,8.743076635228136e-06,1.5133342771368076e-06
8,1.018564955744772e-05,1.662767286052364e-06
9,1.085937220873155e-05,2.168164580108198e-06
10,1.1057236825082083e-05,2.299647057081046e-06
11,1.129172346221093e-05,2.458836919134605e-06
12,1.1461633392476817e-05,2.1306982496402236e-06
13,1.186791831075517e-05,2.292370849396717e-06
14,1.1756823386511083e-05,2.1003965311893674e-06
15,1.175893176733233e-05,2.3343487639133626e-06
16,1.1507357860321122e-05,2.626122309563637e-06
17,1.1223567515938148e-05,2.4244727877793155e-06
18,1.0302402605669947e-05,2.4751576175957788e-06
19,1.2005602856570124e-05,2.418179524860157e-06
20,1.444163659879025e-05,3.137539283296794e-06
21,1.770121172668434e-05,3.425208699915539e-06
22,2.0999294225702192e-05,3.6825559204021195e-06
23,2.468692074012342e-05,4.393845802434031e-06
24,2.7223205103494437e-05,3.890430657574739e-06
25,2.9835078480889144e-05,4.021204404376723e-06
26,3.2517661553754635e-05,4.84352908940751e-06
27,3.481705569127307e-05,4.62175909205502e-06
28,3.66629368801504e-05,4.829042099316392e-06
29,3.8256418958176915e-05,5.524593246067417e-06
30,3.932768830237128e-05,5.611674511133755e-06
31,4.006920562394941e-05,5.531166281642892e-06
32,4.0520402443474946e-05,5.914487586974169e-06
33,4.059579593503887e-05,6.404544680630043e-06
34,4.0627026127096976e-05,6.56071861437655e-06
35,3.9920915129644485e-05,6.5309471986340684e-06
36,3.970077699571821e-05,5.954136348367198e-06
37,3.892384083370103e-05,5.897546967197233e-06
38,4.279315822011648e-05,5.9996953963164085e-06
39,4.640742375684494e-05,6.259450790457362e-06
40,5.1234586273790194e-05,7.404188804070251e-06
41,5.6077033857322746e-05,7.2681751487269535e-06
42,6.216966552785548e-05,9.54985626316065e-06
43,6.749093109429383e-05,1.178866083856256e-05
44,7.281978158076866e-05,1.3842623287475012e-05
45,7.885474791976596e-05,1.4298244997263419e-05
46,8.437606568243087e-05,1.4862307990447278e-05
47,8.977225484610791e-05,1.741059897184107e-05
48,9.451458923007288e-05,1.726951218971314e-05
49,0.00010037414157295052,1.9838240209769687e-05
50,0.00010412121168881169,2.0550390469167102e-05
51,0.00010588300597385904,1.9867882121363095e-05
52,0.00010669737087265828,2.059469831619211e-05
53,0.00010695454456015026,2.119431045529283e-05
54,0.00010689216932525868,2.202647058823206e-05
55,0.0001062157716020687,2.2251538638367105e-05
56,0.00010438726645542915,2.192905921025817e-05
57,0.00010951464610314217,2.2762201782383655e-05
58,0.00011481548087487829,2.2658880729502267e-05
59,0.00012003922808689817,2.3706247648479055e-05
60,0.0001276747159436488,2.3527553201254997e-05
61,0.00013435704739729436,2.2631839830764554e-05
62,0.00014355560123516074,2.545983143097544e-05
63,0.00015096119671252173,2.7593962279450745e-05
64,0.00015891675789922013,3.105017001356985e-05
65,0.00016788263809418215,3.413704471951223e-05
66,0.00017249860414305537,3.46094698606035e-05
67,0.00017960644555270876,3.808236455401623e-05
68,0.00018917628137404136,3.9693911135440446e-05
69,0.00019493716396555945,4.340234005199454e-05
70,0.00020003403019593202,4.26055558660969e-05
71,0.00020158493035190507,4.212551284759875e-05
72,0.00020128952978171413,4.197466459820798e-05
73,0.0002019628620129083,4.6006660334949176e-05
74,0.00020069267494611658,4.62332675555124e-05
75,0.00019690653051601553,4.562995279209696e-05
76,0.00020122552392627836,4.5350884146509726e-05
77,0.0002068624826292441,4.7679089806512584e-05
78,0.00021303346678619556,4.8181189828160466e-05
79,0.00021998302541697163,4.834925371711828e-05
80,0.00022798031086501423,4.7456559253322e-05
