Algorithm,Seed,NodeID,CHSelections
HEED,0,0,60
HEED,0,1,47
HEED,0,2,82
HEED,0,3,53
HEED,0,4,97
HEED,0,5,69
HEED,0,6,65
HEED,0,7,53
HEED,0,8,53
HEED,0,9,67
HEED,0,10,54
HEED,0,11,58
HEED,0,12,55
HEED,0,13,40
HEED,0,14,52
HEED,0,15,41
HEED,0,16,44
HEED,0,17,105
HEED,0,18,60
HEED,0,19,52
HEED,0,20,60
HEED,0,21,60
HEED,0,22,54
HEED,0,23,113
HEED,0,24,90
HEED,0,25,65
HEED,0,26,51
HEED,0,27,59
HEED,0,28,46
HEED,0,29,69
HEED,0,30,43
HEED,0,31,44
HEED,0,32,56
HEED,0,33,83
HEED,0,34,102
HEED,0,35,58
HEED,0,36,90
HEED,0,37,53
HEED,0,38,53
HEED,0,39,83
HEED,0,40,52
HEED,0,41,48
HEED,0,42,73
HEED,0,43,49
HEED,0,44,55
HEED,0,45,65
HEED,0,46,48
HEED,0,47,48
HEED,0,48,52
HEED,0,49,68
HEED,0,50,73
HEED,0,51,48
HEED,0,52,52
HEED,0,53,62
HEED,0,54,65
HEED,0,55,62
HEED,0,56,46
HEED,0,57,70
HEED,0,58,49
HEED,0,59,68
HEED,0,60,56
HEED,0,61,78
HEED,0,62,56
HEED,0,63,49
HEED,0,64,84
HEED,0,65,50
HEED,0,66,68
HEED,0,67,45
HEED,0,68,75
HEED,0,69,58
HEED,0,70,79
HEED,0,71,67
HEED,0,72,52
HEED,0,73,51
HEED,0,74,50
HEED,0,75,75
HEED,0,76,77
HEED,0,77,49
HEED,0,78,54
HEED,0,79,46
HEED,0,80,61
HEED,0,81,67
HEED,0,82,48
HEED,0,83,43
HEED,0,84,46
HEED,0,85,67
HEED,0,86,76
HEED,0,87,67
HEED,0,88,58
HEED,0,89,54
HEED,0,90,103
HEED,0,91,80
HEED,0,92,75
HEED,0,93,59
HEED,0,94,61
HEED,0,95,105
HEED,0,96,62
HEED,0,97,72
HEED,0,98,48
HEED,0,99,112
HEED,1,0,50
HEED,1,1,54
HEED,1,2,62
HEED,1,3,64
HEED,1,4,56
HEED,1,5,55
HEED,1,6,57
HEED,1,7,88
HEED,1,8,65
HEED,1,9,59
HEED,1,10,75
HEED,1,11,50
HEED,1,12,46
HEED,1,13,89
HEED,1,14,46
HEED,1,15,62
HEED,1,16,58
HEED,1,17,55
HEED,1,18,76
HEED,1,19,76
HEED,1,20,69
HEED,1,21,66
HEED,1,22,48
HEED,1,23,49
HEED,1,24,56
HEED,1,25,59
HEED,1,26,36
HEED,1,27,44
HEED,1,28,49
HEED,1,29,94
HEED,1,30,78
HEED,1,31,59
HEED,1,32,61
HEED,1,33,61
HEED,1,34,73
HEED,1,35,78
HEED,1,36,68
HEED,1,37,64
HEED,1,38,62
HEED,1,39,73
HEED,1,40,72
HEED,1,41,48
HEED,1,42,41
HEED,1,43,59
HEED,1,44,80
HEED,1,45,51
HEED,1,46,58
HEED,1,47,66
HEED,1,48,61
HEED,1,49,44
HEED,1,50,90
HEED,1,51,53
HEED,1,52,72
HEED,1,53,70
HEED,1,54,45
HEED,1,55,70
HEED,1,56,49
HEED,1,57,91
HEED,1,58,37
HEED,1,59,55
HEED,1,60,71
HEED,1,61,60
HEED,1,62,68
HEED,1,63,79
HEED,1,64,44
HEED,1,65,88
HEED,1,66,58
HEED,1,67,47
HEED,1,68,62
HEED,1,69,53
HEED,1,70,64
HEED,1,71,53
HEED,1,72,114
HEED,1,73,58
HEED,1,74,55
HEED,1,75,72
HEED,1,76,77
HEED,1,77,46
HEED,1,78,56
HEED,1,79,53
HEED,1,80,49
HEED,1,81,53
HEED,1,82,92
HEED,1,83,92
HEED,1,84,68
HEED,1,85,51
HEED,1,86,56
HEED,1,87,55
HEED,1,88,64
HEED,1,89,65
HEED,1,90,60
HEED,1,91,78
HEED,1,92,69
HEED,1,93,64
HEED,1,94,59
HEED,1,95,61
HEED,1,96,40
HEED,1,97,47
HEED,1,98,59
HEED,1,99,99
HEED,2,0,50
HEED,2,1,43
HEED,2,2,63
HEED,2,3,49
HEED,2,4,60
HEED,2,5,63
HEED,2,6,79
HEED,2,7,61
HEED,2,8,62
HEED,2,9,63
HEED,2,10,39
HEED,2,11,47
HEED,2,12,56
HEED,2,13,87
HEED,2,14,69
HEED,2,15,50
HEED,2,16,97
HEED,2,17,58
HEED,2,18,57
HEED,2,19,184
HEED,2,20,51
HEED,2,21,49
HEED,2,22,51
HEED,2,23,47
HEED,2,24,40
HEED,2,25,50
HEED,2,26,52
HEED,2,27,87
HEED,2,28,44
HEED,2,29,124
HEED,2,30,48
HEED,2,31,39
HEED,2,32,53
HEED,2,33,67
HEED,2,34,55
HEED,2,35,38
HEED,2,36,39
HEED,2,37,66
HEED,2,38,55
HEED,2,39,58
HEED,2,40,52
HEED,2,41,53
HEED,2,42,87
HEED,2,43,52
HEED,2,44,43
HEED,2,45,72
HEED,2,46,61
HEED,2,47,107
HEED,2,48,50
HEED,2,49,77
HEED,2,50,73
HEED,2,51,54
HEED,2,52,59
HEED,2,53,98
HEED,2,54,38
HEED,2,55,77
HEED,2,56,46
HEED,2,57,51
HEED,2,58,59
HEED,2,59,54
HEED,2,60,42
HEED,2,61,56
HEED,2,62,63
HEED,2,63,181
HEED,2,64,39
HEED,2,65,109
HEED,2,66,62
HEED,2,67,34
HEED,2,68,62
HEED,2,69,53
HEED,2,70,92
HEED,2,71,38
HEED,2,72,53
HEED,2,73,64
HEED,2,74,50
HEED,2,75,51
HEED,2,76,65
HEED,2,77,53
HEED,2,78,40
HEED,2,79,42
HEED,2,80,43
HEED,2,81,34
HEED,2,82,96
HEED,2,83,56
HEED,2,84,40
HEED,2,85,41
HEED,2,86,45
HEED,2,87,78
HEED,2,88,68
HEED,2,89,90
HEED,2,90,65
HEED,2,91,53
HEED,2,92,136
HEED,2,93,52
HEED,2,94,104
HEED,2,95,55
HEED,2,96,44
HEED,2,97,50
HEED,2,98,36
HEED,2,99,52
HEED,3,0,50
HEED,3,1,65
HEED,3,2,53
HEED,3,3,59
HEED,3,4,47
HEED,3,5,62
HEED,3,6,41
HEED,3,7,48
HEED,3,8,55
HEED,3,9,47
HEED,3,10,74
HEED,3,11,52
HEED,3,12,43
HEED,3,13,48
HEED,3,14,44
HEED,3,15,55
HEED,3,16,45
HEED,3,17,53
