Round,Mean,Std
1,10.25,2.2682012349227887
2,10.25,1.5517392618742702
3,10.25,2.4251966822029964
4,9.45,1.538112308540638
5,10.3,1.6575187543592478
6,9.85,1.5985190514644287
7,9.6,1.353358395757909
8,9.95,1.8771478925557026
9,9.3,1.4903196407411894
10,9.85,2.207046132634963
11,9.6,2.0104987598001385
12,9.75,1.2085223687584246
13,9.5,2.1884866196096624
14,10.05,2.0894471693929497
15,10.5,1.4689774459950382
16,10.05,2.762054917705485
17,9.75,1.5517392618742702
18,9.95,1.9049796241485237
19,9.75,1.446411166701189
20,10.4,2.3033156878497434
21,10.15,1.9269556026896006
22,10.4,1.930366749991743
23,9.8,1.542383664469075
24,10.2,2.041671142136162
25,10.35,1.4608937423083819
26,9.9,1.8609561775433732
27,10.5,1.3572417850765923
28,9.85,1.7851728502481647
29,9.8,1.880649383926509
30,9.1,1.5183093090324964
31,10.1,1.8609561775433732
32,9.65,2.084403234046921
33,9.25,2.1490511982341367
34,9.1,1.410487037944882
35,10.3,2.0799797569865155
36,10.05,1.8771478925557026
37,10.05,1.9594574974238472
38,9.75,1.8027756377319946
39,10.35,1.9808291724745766
40,9.9,1.970840055995359
41,9.6,1.5355437918998294
42,10.7,1.5927467172350909
43,10.15,1.3088765773505318
44,9.4,1.465390194130093
45,9.75,1.8317377426626162
46,10.2,1.6415653633362464
47,10.15,2.277463963548745
48,9.65,1.5985190514644287
49,9.75,2.022895267471328
50,9.55,2.480980281641661
51,9.9,2.1740091511936384
52,9.6,1.7591864148251213
53,9.9,1.6189665319514628
54,10.25,2.197486602557807
55,9.7,2.0799797569865155
56,9.6,1.5008769366431645
57,9.6,1.729009451741235
58,9.65,2.1095023109728985
59,9.05,1.5035046776746235
60,9.5,1.3954814298487213
61,11.2,2.483630619200766
62,9.55,1.9324105480761042
63,9.95,2.235479461111784
64,10.6,2.60364117505102
65,9.8,2.3973669767168797
66,9.2,1.6091841672756186
67,10.25,1.5852942612451615
68,10.1,2.0235456115702615
69,9.95,1.6050905860647502
70,9.85,1.5985190514644287
71,10.65,1.755442664221313
72,9.75,2.807414993792051
73,9.75,1.5517392618742702
74,9.55,1.5035046776746237
75,9.95,2.1144863753590246
76,9.0,1.7167901505579042
77,9.3,1.8666040089734592
78,10.0,1.4867838833500564
79,9.7,1.625455401774498
80,9.85,2.2307657406087453
81,10.1,2.2454632624823536
82,10.2,3.2379330639029256
83,9.0,1.4867838833500564
84,9.7,2.0799797569865155
85,10.05,1.8202082009311027
86,9.7,1.8381913307436346
87,8.9,1.5861240410775606
88,10.15,2.007223796297028
89,9.8,1.9358120830939742
90,9.9,1.3726654823065196
91,9.6,1.5008769366431642
