Round,Mean,Std
1,9.779650621662735e-07,1.2288743934768385e-07
2,2.0519843473983055e-06,3.558633755649711e-07
3,3.124630607629244e-06,4.7295743076963305e-07
4,4.332586087239643e-06,7.008557976692685e-07
5,5.523052591665422e-06,1.0341091791183167e-06
6,6.788088254575558e-06,1.3706636133904202e-06
7,8.259186285605422e-06,1.5276909992215917e-06
8,9.677768276267073e-06,2.0796280254819714e-06
9,1.123022530136321e-05,2.4839438704964335e-06
10,1.274630796384171e-05,2.516903814948295e-06
11,1.404590567727851e-05,2.797644382274059e-06
12,1.5290321538224497e-05,3.03606694144275e-06
13,1.671913773445183e-05,3.62067849163027e-06
14,1.7809296042109926e-05,3.824598809315357e-06
15,1.9333984467971772e-05,3.7777033415450356e-06
16,2.074239293696242e-05,3.4817699714330713e-06
17,2.2388154694513224e-05,3.5784409540231134e-06
18,2.3770879804413785e-05,3.8885935467172595e-06
19,2.5917331913505347e-05,4.506513852049163e-06
20,2.7338204591980434e-05,5.1963058858614035e-06
21,2.895569144639856e-05,5.379708511750791e-06
22,3.0247694932691338e-05,5.296555265645781e-06
23,3.2046036137530046e-05,5.870760282605533e-06
24,3.390612389002973e-05,6.416806014037102e-06
25,3.60809518971806e-05,7.166288926529182e-06
26,3.833045718121159e-05,7.976010501287085e-06
27,4.0479057426046804e-05,8.576160605110668e-06
28,4.22143046451459e-05,8.539969616323395e-06
29,4.4504665896117373e-05,8.882585290960015e-06
30,4.66194180409528e-05,9.218072227050848e-06
31,4.942443937058429e-05,9.772564353304088e-06
32,5.0860055419355605e-05,1.0363463040686005e-05
33,5.2623688045564406e-05,1.0517225041213111e-05
34,5.456716493712091e-05,1.0863405392425547e-05
35,5.641379045216808e-05,1.1409922083340035e-05
36,5.843654385884813e-05,1.1668683319039772e-05
37,6.027968537928943e-05,1.2525365453305023e-05
38,6.23360851969108e-05,1.2776128909886183e-05
39,6.520879425442817e-05,1.3261286509799518e-05
40,6.781169278470336e-05,1.4748363209942696e-05
41,7.000001322201148e-05,1.5432478435055466e-05
42,7.247549968910506e-05,1.6137700215195862e-05
43,7.522760062570586e-05,1.712727408402636e-05
44,7.840013883058431e-05,1.8457702092373327e-05
45,8.102502092937591e-05,1.9047537835485657e-05
46,8.287316399139439e-05,1.8879966628621035e-05
47,8.553454798502269e-05,1.905041054740206e-05
48,8.820802609867789e-05,1.956814713328508e-05
49,9.109543702845429e-05,2.0403682557371857e-05
50,9.416191965368865e-05,2.191343182671666e-05
51,9.802543125751768e-05,2.28004656984786e-05
52,0.00010062565341662186,2.332932857124356e-05
53,0.00010402429696950452,2.5256153255436245e-05
54,0.00010751310745023019,2.5386070184813243e-05
55,0.00011095675744648701,2.5706918679032506e-05
56,0.00011371206517670529,2.5979089779397204e-05
57,0.00011661823330574349,2.7840005708042652e-05
58,0.00011884837693682943,2.851077459745001e-05
59,0.00012241544229739333,2.9050139305759546e-05
60,0.00012536328792572246,2.9142401586539975e-05
61,0.00012885261340962693,3.0245452808957175e-05
62,0.0001312575494454265,3.0478800448556587e-05
63,0.00013489442783018782,3.1060740795009276e-05
64,0.00013751655208214954,3.294312022030845e-05
65,0.00014019190075062962,3.403921606482263e-05
66,0.00014280133092035022,3.473718629606975e-05
67,0.00014608507721506993,3.561944053613495e-05
68,0.0001500588664930978,3.6272548915851386e-05
69,0.00015350633714858675,3.670624865892164e-05
70,0.00015699787765272494,3.8181010228429675e-05
71,0.0001608737310454948,3.833364557153805e-05
72,0.00016401061405842723,4.019596616991385e-05
73,0.00016741774089449165,4.062026690603229e-05
74,0.00017054939140332746,4.099104582112352e-05
75,0.00017419830555421138,4.294078860373131e-05
76,0.00017691360147895874,4.370377867775568e-05
77,0.00018170460054062077,4.561824669890825e-05
78,0.00018557529281992564,4.5784607472927905e-05
79,0.00018904609377942558,4.661499013725222e-05
80,0.00019346236655122968,4.9128289770968994e-05
81,0.0001970852440940566,4.900444211868211e-05
82,0.000201209050461402,5.101730525159158e-05
83,0.00020452569817344546,5.291925687926282e-05
84,0.00020860180533056378,5.671386434304614e-05
85,0.0002132319044295836,5.853515183094604e-05
86,0.0002174925480404139,6.06488958945593e-05
87,0.00022052862970108484,6.204671592684154e-05
88,0.0002245351111174353,6.262039614983228e-05
89,0.00022815573680482864,6.415984821515638e-05
90,0.0002330641997609806,6.6240342802704e-05
91,0.00023736774128917346,6.864834749196586e-05
92,0.0002421456516658222,6.889864859864856e-05
93,0.0002452699173830583,7.082200326349053e-05
94,0.00025039744415231234,7.103524096572817e-05
95,0.00025459434985071873,7.351972686841732e-05
96,0.00025925910050039335,7.394174611964572e-05
97,0.00026414942454002134,7.618725292346695e-05
98,0.00026870948021626715,7.794710650399668e-05
99,0.00027271025813620697,7.87213628685719e-05
100,0.00027633897738036235,8.006781096106729e-05
101,0.00027974241579206184,8.255451030240357e-05
102,0.0002831608856857986,8.407864519382253e-05
103,0.00028783964362234966,8.554913022611703e-05
104,0.00029137516461055747,8.61394225671652e-05
105,0.0002974487671672386,8.989329239310695e-05
106,0.00030188255759453213,9.202954232713914e-05
107,0.000306372131981354,9.299000855176658e-05
108,0.0003095016766814012,9.42505265357499e-05
109,0.00031351727683215716,9.741239442668963e-05
110,0.00032018039831307375,0.00010303801108631969
111,0.00032463903061489516,0.0001044600294203093
112,0.0003287246827481831,0.00010661278083392382
113,0.00033321192024893633,0.00010656591352250159
114,0.00033925857995955753,0.00011093495383434926
115,0.00034339349255358895,0.000110745112271509
116,0.0003487430032526932,0.0001117029230850231
117,0.0003515746319986432,0.00011178877786351125
118,0.0003572530433367672,0.0001162773231723452
119,0.00036299414344292583,0.00011605625246858993
120,0.0003664236130622222,0.00011645310221624758
121,0.00037015724437660486,0.00011910741199983111
122,0.0003765583212228077,0.00012245423169539754
123,0.0003814396242963843,0.00012203162533449129
124,0.00038693952741171303,0.00012679368479483918
125,0.0003913881725825202,0.00012820720509276347
126,0.00039663106682863403,0.00013058072613549813
127,0.00040083724056352046,0.0001315324527543303
128,0.0004057277581465666,0.00013294671299612804
129,0.0004113892242907877,0.0001344550901300214
130,0.0004164271086528464,0.00013635037683251304
131,0.00041995349548187264,0.00013785941956989388
132,0.0004249012729811202,0.00014162468912137612
133,0.0004300278225264645,0.00014546372072222441
134,0.0004355983239349207,0.00014522403644841292
135,0.00043993944992993405,0.00014583736050459135
136,0.00044390458980022056,0.00014745960247335076
137,0.0004484044782098008,0.00014903556286086385
138,0.00045440642753469073,0.00015180254927432335
139,0.00045904183251689037,0.00015347947863726962
140,0.00046275553981242493,0.00015447228682258102
141,0.00046799130581741356,0.0001557883859191199
142,0.000474635793779795,0.0001607012205625734
143,0.00048029794617006425,0.0001632944251138559
144,0.0004839296036942641,0.00016591572892338098
145,0.000489402737644397,0.00016933388068534954
146,0.0004943860502493321,0.00017064940243088455
147,0.000501333551761749,0.00017314432532005
148,0.000508060693982549,0.0001757898516856391
149,0.0005135180048747127,0.0001786878442482758
150,0.0005191175663166829,0.00017989562103889198
151,0.000523108882380742,0.00018403654281619043
152,0.0005283569644475351,0.00018749580398942693
153,0.0005358507398966046,0.00018994729131491426
154,0.0005415006130268367,0.00019366005772105283
155,0.0005480944974132959,0.0001943437926572441
156,0.0005555266682284086,0.00019658660048027074
157,0.0005615150732195537,0.00019670497806923505
158,0.0005683722789971004,0.00020110651392097923
159,0.0005732101585020003,0.00020329107818911244
160,0.0005760837388201682,0.0002044206424236614
161,0.0005821998043402552,0.00020528587915874896
162,0.0005903193458541032,0.00021083329890179639
163,0.0005979067325061725,0.00021340868746237048
164,0.0006044874223498995,0.00021700691086300777
165,0.0006113971515311964,0.0002201225580252497
166,0.000617985798283939,0.00022306035468298025
167,0.000624689094679554,0.00022625510194757803
168,0.0006303879461616146,0.00022729311665575748
169,0.0006368659256383669,0.00022893815967204415
170,0.0006433171272098578,0.00022873919390784239
171,0.0006482297929661137,0.00022894786883920586
172,0.0006538336609996821,0.0002308870779446768
173,0.0006605582766638059,0.00023268488489311352
174,0.0006648846949626639,0.00023125697739683523
175,0.0006707400153108843,0.00023038700879165214
176,0.0006786077957873502,0.0002351473187187808
177,0.0006849946876513312,0.00023895307892888635
178,0.0006901968618386383,0.00023931457701661227
179,0.0006965811496820766,0.0002427127706010899
180,0.0007025818968149627,0.0002451901242617962
181,0.000709056092321687,0.0002466455888370659
182,0.0007162857399304993,0.0002494600636692664
183,0.0007219063508841299,0.0002505685302151675
184,0.0007286606414591372,0.0002521573133571007
185,0.0007361375563859804,0.00025335776185947943
186,0.0007413971553192905,0.00025682364152965074
187,0.0007495525990243734,0.0002607909662511258
188,0.0007557287129092602,0.00026317890918028437
189,0.0007646255631741058,0.0002673427222955383
190,0.0007726761861254716,0.000270167731562462
191,0.0007804827310206023,0.00026970302157077884
192,0.0007866816439028067,0.00027220583942470696
193,0.0007926409306924339,0.0002745124951677545
194,0.0007977679266365659,0.00027866703249183563
195,0.0008038413372313957,0.00028088620867208953
196,0.0008116502981102239,0.00028566013051836464
197,0.0008165280257487383,0.00028817025657241346
198,0.0008212283069727996,0.00029065255916282766
199,0.0008303114081283048,0.0002956660169434792
200,0.0008375019265722823,0.00029890533875118696
201,0.0008462590487276105,0.0003019093978125597
202,0.0008534941787620971,0.00030556848121078697
203,0.0008587356805351051,0.000307224112344281
204,0.0008659664792676193,0.0003069197971322785
