Round,Mean,Std
1,10.25,2.2682012349227887
2,20.5,2.438722702779599
3,30.75,3.2747036828583918
4,40.2,3.5033818248267363
5,50.5,4.684801855047088
6,60.35,4.976523834332978
7,69.95,5.062504061076994
8,79.9,4.897905030133855
9,89.2,5.207282350102038
10,99.05,6.142817800188753
11,108.65,6.335156708899614
12,118.4,6.516376132079611
13,127.9,7.362064927722384
14,137.95,7.119099588246285
15,148.45,7.0597077619552016
16,158.5,7.7289612565507895
17,168.25,8.644286217526947
18,178.2,8.941917844447136
19,187.95,9.173617779147698
20,198.35,9.948684123514711
21,208.5,10.086468267201516
22,218.9,9.65674021494559
23,228.7,9.723005816375057
24,238.9,10.760062609874584
25,249.25,11.39194082628038
26,259.15,11.554333887288672
27,269.65,11.757528383304484
28,279.5,12.55933286863849
29,289.3,13.334166640626627
30,298.4,13.800839028651007
31,308.5,14.328844666395272
32,318.15,14.224793033366259
33,327.4,14.083958773613409
34,336.5,14.229324798124694
35,346.8,14.968739355561537
36,356.85,15.173644047631095
37,366.9,15.52553075624656
38,376.65,15.908537926137914
39,387.0,16.029577923983297
40,396.9,16.363952681684857
41,406.5,16.522711641858304
42,417.2,17.139059729782513
43,427.35,17.409238321861427
44,436.75,17.98500837686181
45,446.5,18.351824805294175
46,456.7,18.97671703624429
47,466.85,19.361587038039495
48,476.5,19.61336815863904
49,486.25,19.968066611731
50,495.8,20.945040865133333
51,505.7,22.382088703622863
52,515.3,23.037954953099735
53,525.2,23.522889188819338
54,535.45,24.38393560911515
55,545.15,24.531987710999523
56,554.75,25.275065724314565
57,564.35,25.65822941752032
58,574.0,25.74367576911392
59,583.05,25.915804972418297
60,592.55,25.816100647301074
61,603.75,27.00657814603499
62,613.3,27.57019748702726
63,623.25,28.561798189005426
64,633.85,29.65640962050105
65,643.65,30.82424712018634
66,652.85,31.661490805077392
67,663.1,30.91226974928615
68,673.2,30.860637507485503
69,683.15,31.45134086339187
70,693.0,30.721156776466124
71,703.65,30.639285067926835
72,713.4,31.41638861620174
73,723.15,30.99282599502496
74,732.7,31.337047185652153
75,742.65,32.50793425417377
76,751.65,32.22988969068439
77,760.95,32.68586528568097
78,770.95,32.55355910689821
79,780.65,32.65009873443603
80,790.5,33.40422286572699
81,800.6,33.08744395338542
82,810.8,34.535412793857056
83,819.8,34.915838662041104
84,829.5,35.20541226333785
85,839.55,35.2979423882201
86,849.25,35.0621628419853
87,858.15,35.5798213066132
88,868.3,35.610613438604005
89,878.1,36.05682649432843
90,888.0,35.57645584549304
91,897.6,35.486691352645074
92,906.85,35.27377884043912
93,916.55,35.64662086295654
94,926.6,35.67012608243545
95,936.35,35.63155756821251
96,946.5,35.990495821448256
97,956.35,36.00040204453863
98,965.75,36.480528331815876
99,975.1,37.29385443940286
100,984.8,37.32446636555819
101,995.15,37.98237125714756
102,1004.15,38.152429735691044
103,1014.05,38.37690506157659
104,1023.9,38.91948504013733
105,1033.85,38.98079824194147
106,1043.15,38.840124396787076
107,1052.65,39.290115269552686
108,1062.25,39.96824397338204
109,1072.2,39.742063093747014
110,1082.15,40.42051980186093
111,1091.95,40.55856713964452
112,1102.0,40.42406786999417
113,1112.1,40.62783593340383
114,1121.8,41.147488252306296
115,1131.0,41.94106140262723
116,1141.3,41.773953103515794
117,1150.35,41.77291366171952
118,1159.85,41.91881250829111
119,1169.6,41.4936900719793
120,1179.85,41.98279722883999
121,1189.65,42.53082473490937
122,1199.1,42.97477840486636
123,1208.8,42.75216214907795
124,1218.0,43.814201014355106
125,1228.15,44.12932549247781
126,1237.5,44.09499315174719
127,1247.15,44.168665959383226
128,1256.9,44.09666415358064
129,1266.85,43.718326880876376
130,1276.55,44.437389425430574
131,1285.55,44.96603981720099
132,1295.3,45.22004678877441
133,1304.3,45.40009274277566
134,1313.8,45.57307607741543
135,1323.3,46.19307307378456
136,1332.5,45.63643512070499
137,1342.0,45.571228226867696
138,1351.65,46.00832304565865
139,1361.05,45.99253371901506
140,1370.8,45.70684619916019
141,1381.0,46.47127012863347
142,1390.6,46.710080057171474
143,1400.2,47.66395526578703
144,1409.2,47.852404658271325
145,1418.9,48.19685510596374
146,1429.05,49.33289177137618
147,1439.0,49.52192496896277
148,1448.05,49.51073780398284
149,1457.85,49.67396331660025
150,1467.55,50.07833337566467
151,1476.85,50.6248066922885
152,1486.4,50.86866474197626
153,1495.85,50.92127566930618
154,1504.9,51.374681456305325
155,1514.55,51.85351330532256
156,1524.55,52.07229286492507
157,1534.75,53.38723975278224
158,1544.2,53.542506478498
159,1553.75,53.96185299771838
160,1563.1,54.16825638692831
161,1572.45,54.32986481233241
162,1582.2,55.05557001315747
163,1591.85,55.38123851041405
164,1601.35,55.51507618846007
165,1610.85,56.10260806396568
166,1620.5,55.98543043553949
167,1629.95,55.974124661123085
168,1639.45,55.831018543269906
169,1649.1,56.311072109357525
170,1658.35,55.99367915455421
171,1667.65,56.07164120451996
172,1677.95,56.55316548448715
173,1687.45,56.606188056746845
174,1697.05,57.032285408769724
175,1706.2,57.32511160959594
176,1716.0,57.74535752586067
177,1725.85,57.41196922703763
178,1735.75,58.137654253549506
179,1744.75,58.13403297100317
180,1755.05,58.28286287806355
181,1764.2,58.339839236196596
182,1773.7,58.66237025735089
183,1783.2,58.78739571317003
184,1792.3,58.8737274977021
185,1801.6,59.23672402896881
186,1810.75,60.14095285682058
187,1821.35,61.17298595398394
188,1830.8,61.86368716358316
189,1840.8,62.13787725271667
190,1850.35,62.61685917252301
191,1859.9,62.23630688542535
192,1869.35,61.51873912197726
193,1878.7,61.62458497778473
194,1888.25,62.07031242236925
195,1898.55,62.93645500360704
196,1908.2,63.5316746529676
197,1918.35,63.55790977318907
198,1927.15,63.89570037424889
199,1936.95,63.99956825512267
200,1946.6,64.5318362882759
201,1955.7,64.85376262265582
