Algorithm,Seed,NodeID,CHSelections
LEACH,0,0,42
LEACH,0,1,30
LEACH,0,2,43
LEACH,0,3,44
LEACH,0,4,60
LEACH,0,5,14
LEACH,0,6,37
LEACH,0,7,30
LEACH,0,8,36
LEACH,0,9,28
LEACH,0,10,40
LEACH,0,11,15
LEACH,0,12,43
LEACH,0,13,30
LEACH,0,14,18
LEACH,0,15,24
LEACH,0,16,28
LEACH,0,17,48
LEACH,0,18,22
LEACH,0,19,29
LEACH,0,20,17
LEACH,0,21,22
LEACH,0,22,18
LEACH,0,23,50
LEACH,0,24,36
LEACH,0,25,23
LEACH,0,26,20
LEACH,0,27,19
LEACH,0,28,26
LEACH,0,29,26
LEACH,0,30,37
LEACH,0,31,25
LEACH,0,32,17
LEACH,0,33,32
LEACH,0,34,47
LEACH,0,35,41
LEACH,0,36,47
LEACH,0,37,40
LEACH,0,38,29
LEACH,0,39,42
LEACH,0,40,32
LEACH,0,41,27
LEACH,0,42,25
LEACH,0,43,36
LEACH,0,44,24
LEACH,0,45,34
LEACH,0,46,25
LEACH,0,47,26
LEACH,0,48,43
LEACH,0,49,37
LEACH,0,50,40
LEACH,0,51,22
LEACH,0,52,35
LEACH,0,53,30
LEACH,0,54,39
LEACH,0,55,17
LEACH,0,56,20
LEACH,0,57,21
LEACH,0,58,24
LEACH,0,59,37
LEACH,0,60,36
LEACH,0,61,42
LEACH,0,62,39
LEACH,0,63,26
LEACH,0,64,47
LEACH,0,65,22
LEACH,0,66,26
LEACH,0,67,25
LEACH,0,68,15
LEACH,0,69,38
LEACH,0,70,18
LEACH,0,71,18
LEACH,0,72,32
LEACH,0,73,26
LEACH,0,74,43
LEACH,0,75,35
LEACH,0,76,35
LEACH,0,77,30
LEACH,0,78,26
LEACH,0,79,27
LEACH,0,80,18
LEACH,0,81,31
LEACH,0,82,22
LEACH,0,83,26
LEACH,0,84,29
LEACH,0,85,34
LEACH,0,86,27
LEACH,0,87,15
LEACH,0,88,35
LEACH,0,89,19
LEACH,0,90,39
LEACH,0,91,23
LEACH,0,92,38
LEACH,0,93,26
LEACH,0,94,18
LEACH,0,95,46
LEACH,0,96,37
LEACH,0,97,37
LEACH,0,98,23
LEACH,0,99,28
LEACH,1,0,38
LEACH,1,1,19
LEACH,1,2,24
LEACH,1,3,28
LEACH,1,4,43
LEACH,1,5,30
LEACH,1,6,19
LEACH,1,7,21
LEACH,1,8,42
LEACH,1,9,16
LEACH,1,10,27
LEACH,1,11,39
LEACH,1,12,41
LEACH,1,13,52
LEACH,1,14,38
LEACH,1,15,47
LEACH,1,16,17
LEACH,1,17,22
LEACH,1,18,15
LEACH,1,19,33
LEACH,1,20,25
LEACH,1,21,15
LEACH,1,22,38
LEACH,1,23,55
LEACH,1,24,41
LEACH,1,25,35
LEACH,1,26,35
LEACH,1,27,37
LEACH,1,28,41
LEACH,1,29,33
LEACH,1,30,41
LEACH,1,31,29
LEACH,1,32,32
LEACH,1,33,24
LEACH,1,34,24
LEACH,1,35,15
LEACH,1,36,54
LEACH,1,37,43
LEACH,1,38,37
LEACH,1,39,38
LEACH,1,40,12
LEACH,1,41,53
LEACH,1,42,37
LEACH,1,43,33
LEACH,1,44,15
LEACH,1,45,30
LEACH,1,46,35
LEACH,1,47,15
LEACH,1,48,14
LEACH,1,49,33
LEACH,1,50,44
LEACH,1,51,19
LEACH,1,52,37
LEACH,1,53,20
