Round,Mean,Std
1,4.9,2.1980852911951394
2,5.9,2.7125439603519985
3,5.55,2.327750212679956
4,5.85,2.007223796297028
5,4.3,2.1299864096428314
6,5.15,2.007223796297028
7,4.65,1.9808291724745768
8,3.8,2.284962282309918
9,5.0,1.5894388284780525
10,5.9,1.5183093090324964
11,5.15,1.7554426642213128
12,5.85,2.9960500312033647
13,4.3,2.129986409642831
14,5.4,2.0621909656836754
15,5.4,2.603641175051019
16,5.55,2.605156829302827
17,5.1,2.447340124341226
18,5.85,2.412140346794021
19,6.4,2.21002500581233
20,4.25,1.8883298106221302
21,0.8,1.0052493799000692
22,0.75,0.6386663736585051
23,0.8,0.6155870112510925
24,1.3,1.1285761872936695
25,0.9,0.9119095061289915
26,2.7,2.1545545393788235
27,1.8,1.0563093645728086
28,2.65,1.5652475842498528
29,3.15,1.7554426642213128
30,2.85,1.7252002172135512
31,4.45,1.79105966869954
32,4.65,1.9808291724745768
33,5.4,2.2337129816094383
34,6.2,2.284962282309918
35,7.0,3.1455900626281967
36,8.05,3.3635038122078655
37,9.35,3.4377930497095925
38,13.2,4.09878030638384
39,19.8,4.060075187273727
40,0.25,0.4442616583193193
41,0.15,0.3663475485325232
42,0.55,0.6863327411532597
43,0.55,0.6863327411532598
44,0.45,0.7591546545162482
45,0.45,0.6863327411532598
46,0.45,0.6863327411532598
47,0.65,0.812727700887249
48,1.0,0.7947194142390263
49,1.25,0.910465468000326
50,1.35,0.9880869341680844
51,2.15,1.4964871146156007
52,2.5,1.4689774459950382
53,3.7,1.5252264715358452
54,4.65,2.1830688201896455
55,6.2,2.7834094957538373
56,8.25,2.593006789525688
57,11.1,2.447340124341226
58,16.75,3.75394529304276
59,37.6,4.36975249208754
60,3.6,2.663594721819606
61,3.25,3.109831608235235
62,2.05,3.394655241777331
63,0.9,1.9166857359844662
64,0.4,1.5694450913417903
65,0.1,0.30779350562554625
66,0.1,0.30779350562554625
67,0.25,0.5501196042201808
68,0.95,2.4809802816416617
69,0.25,0.5501196042201808
70,0.65,0.8750939799154207
71,0.95,0.8870412083230168
72,0.55,0.6863327411532597
73,1.75,1.5852942612451615
74,2.1,1.3337718577107005
75,3.4,2.1373865005261865
76,4.75,1.8317377426626162
77,9.05,2.7236778540480113
78,16.2,2.839570019340401
79,49.45,7.192649756961323
80,1.45,2.41650029675366
81,1.6,2.137386500526187
82,1.55,2.0384462607326044
83,2.25,2.4894514297436356
84,2.15,2.814903943392441
85,1.75,2.3141441523584345
86,2.3,3.628831912975796
87,3.2,5.425087920703999
88,1.8,3.3340350138659627
89,1.7,2.975337221046946
90,1.45,1.6050905860647506
91,1.1,2.5110283068684702
92,0.6,0.6805570473787206
93,0.9,0.9119095061289916
94,1.45,1.4317821063276355
95,2.05,1.4680814547887788
96,2.85,1.4964871146156007
97,4.75,2.197486602557807
98,13.0,4.8558158293350715
99,56.2,13.508671678826005
100,3.4,3.560011827301465
101,1.1,2.023545611570261
102,0.85,1.9540780569443936
103,0.6,1.8180382718454353
104,0.25,0.4442616583193193
105,0.6,0.8207826816681232
106,0.95,1.4680814547887786
107,1.0,1.7471781760734562
108,1.15,1.5985190514644285
109,1.1,1.4473205733717958
110,1.15,1.6630662866176473
111,1.25,1.51744244666721
112,0.9,1.3726654823065196
113,1.65,2.0072237962970276
114,2.5,1.9867985355975657
115,1.55,1.0500626547722611
116,2.6,1.930366749991743
117,3.9,1.8890264827766654
118,10.75,3.625567106275274
119,62.85,11.930831355865577
120,2.25,2.712058841156426
121,2.15,2.621269278723372
122,1.6,2.036508880671192
123,2.5,4.123105625617661
124,1.75,3.338373382667862
125,1.15,1.899445902583726
126,1.65,3.281126250799291
127,2.4,4.222745427724529
128,1.6,2.854359546562527
129,1.5,2.704771612111494
130,1.95,3.203205631205945
131,1.7,2.556724878680371
132,1.65,1.814415956487898
133,1.8,3.44276510656004
134,2.25,4.1023100039393725
135,2.35,3.468277291166474
136,4.15,7.11762083253874
137,6.0,6.2911801252563935
138,7.45,2.981963323576917
139,60.55,20.780747669037574
140,2.4,2.7414940221864814
141,1.2,2.2849622823099174
142,1.1,1.8324559303956278
143,1.9,3.143916431191483
144,2.3,3.1472628040719344
145,0.8,1.908430051942668
146,1.4,2.2337129816094374
147,1.2,2.067289096988207
148,0.85,1.268027892769755
149,0.7,0.9787209698591856
150,1.15,1.2258187382102494
151,1.0,1.025978352085154
152,1.35,1.5652475842498526
153,1.35,1.8994459025837258
154,1.7,1.9761738683361683
155,1.65,1.4964871146156007
156,2.55,2.3277502126799554
157,4.45,4.795557154393286
158,8.4,4.694902050432778
159,63.5,16.98451306957389
160,2.3,2.7739388677664225
161,1.75,2.593006789525688
162,1.55,2.9819633235769176
163,0.5,1.3954814298487213
164,0.85,1.5652475842498526
165,0.6,0.8825799501580875
166,1.4,1.9029063643750173
167,0.55,0.8255779474818967
168,1.0,1.2977713690461004
169,2.0,3.3086807674740446
170,1.75,2.8446625921465443
171,1.05,1.6050905860647504
172,0.9,0.9119095061289916
173,1.35,1.899445902583726
174,1.6,1.6670175069329813
175,1.85,1.348488432516786
176,2.35,2.1343062474478063
177,4.1,3.4166773641253156
178,7.65,4.19617620421761
179,65.55,13.4064988168543
180,2.2,2.7644357947251903
181,2.35,2.7582412397834433
182,2.35,2.7772572611727644
183,2.15,2.7003898354048617
184,1.15,2.345768867332706
185,1.6,3.201973075924807
186,0.65,1.814415956487898
187,0.75,1.2513150976809202
188,0.9,1.0711528467275955
189,0.65,0.8750939799154207
190,1.1,1.8035053587243286
191,1.6,3.500375919661683
192,1.8,2.894641146743591
193,1.55,1.5719582155957417
194,1.1,1.4104870379448817
195,1.8,1.6733200530681513
196,2.1,2.0235456115702615
197,3.65,2.497893849668261
198,6.0,3.8525452967042315
199,66.6,15.561085065671117
200,2.15,3.1999177621011645
201,2.45,3.2521248114845904
202,1.85,2.5603248149199227
203,0.95,2.038446260732605
204,1.4,2.521486612465373
205,1.25,2.197486602557807
206,0.95,1.6375527311718614
207,1.55,2.7429335045761345
208,1.65,2.6611236249690506
209,1.15,2.058998223459779
210,1.6,2.4793887192315434
211,1.6,3.500375919661683
212,1.85,2.621269278723372
213,2.35,3.5581633346137265
214,2.4,3.0847673289381503
215,2.45,3.5905577927611603
216,5.35,7.534307497951234
217,4.9,7.239511469414872
218,8.7,10.285912696499032
219,62.6,17.81601881217545
220,3.6,3.574765358512507
221,2.75,2.8996370008747827
222,2.6,3.6331804249169894
223,2.35,3.065512750104399
224,3.0,3.960329598192023
225,1.85,3.099660422827331
226,2.45,3.720144309594794
227,2.2,3.1556132109056243
228,1.35,2.1830688201896455
229,1.45,1.986136159004529
230,1.85,3.3446736918962907
231,1.6,2.3485717944495996
232,1.5,1.8496087779795347
233,2.8,4.3237410701966486
234,2.9,4.315211771347839
235,1.85,1.3088765773505318
236,2.4,2.087557121815378
237,3.65,2.3902213066443956
238,6.55,5.256324511331187
239,57.6,17.63489363971925
240,1.85,2.7582412397834433
241,1.3,2.494203807145468
242,1.75,3.0928610498508027
243,1.05,2.08944716939295
244,1.15,2.5188761069384227
245,1.5,2.564945880212885
246,1.2,1.4363696929192156
247,1.4,1.6982963599783725
248,1.9,4.22897275071805
249,2.05,2.723677854048011
250,1.2,1.5761378513048245
251,1.4,2.0365088806711915
252,1.9,1.860956177543373
253,1.7,1.218281792655455
