Algorithm,Seed,NodeID,DeathRound
LEACH,0,0,826
LEACH,0,1,552
LEACH,0,2,800
LEACH,0,3,842
LEACH,0,4,917
LEACH,0,5,276
LEACH,0,6,712
LEACH,0,7,614
LEACH,0,8,715
LEACH,0,9,539
LEACH,0,10,742
LEACH,0,11,304
LEACH,0,12,842
LEACH,0,13,526
LEACH,0,14,347
LEACH,0,15,482
LEACH,0,16,572
LEACH,0,17,859
LEACH,0,18,426
LEACH,0,19,579
LEACH,0,20,343
LEACH,0,21,436
LEACH,0,22,365
LEACH,0,23,877
LEACH,0,24,657
LEACH,0,25,422
LEACH,0,26,376
LEACH,0,27,373
LEACH,0,28,489
LEACH,0,29,527
LEACH,0,30,737
LEACH,0,31,468
LEACH,0,32,341
LEACH,0,33,623
LEACH,0,34,862
LEACH,0,35,716
LEACH,0,36,853
LEACH,0,37,794
LEACH,0,38,595
LEACH,0,39,811
LEACH,0,40,649
LEACH,0,41,555
LEACH,0,42,479
LEACH,0,43,701
LEACH,0,44,485
LEACH,0,45,682
LEACH,0,46,478
LEACH,0,47,491
LEACH,0,48,831
LEACH,0,49,712
LEACH,0,50,773
LEACH,0,51,407
LEACH,0,52,696
LEACH,0,53,596
LEACH,0,54,746
LEACH,0,55,291
LEACH,0,56,414
LEACH,0,57,402
LEACH,0,58,470
LEACH,0,59,681
LEACH,0,60,700
LEACH,0,61,802
LEACH,0,62,731
LEACH,0,63,523
LEACH,0,64,856
LEACH,0,65,450
LEACH,0,66,524
LEACH,0,67,466
LEACH,0,68,304
LEACH,0,69,731
LEACH,0,70,360
LEACH,0,71,331
LEACH,0,72,601
LEACH,0,73,475
LEACH,0,74,793
LEACH,0,75,670
LEACH,0,76,696
LEACH,0,77,583
LEACH,0,78,538
LEACH,0,79,503
LEACH,0,80,343
LEACH,0,81,618
LEACH,0,82,431
LEACH,0,83,507
LEACH,0,84,589
LEACH,0,85,696
LEACH,0,86,467
LEACH,0,87,309
LEACH,0,88,636
LEACH,0,89,365
LEACH,0,90,735
LEACH,0,91,444
LEACH,0,92,738
LEACH,0,93,462
LEACH,0,94,341
LEACH,0,95,841
LEACH,0,96,706
LEACH,0,97,718
LEACH,0,98,470
LEACH,0,99,552
LEACH,1,0,703
LEACH,1,1,386
LEACH,1,2,466
LEACH,1,3,571
LEACH,1,4,823
LEACH,1,5,618
LEACH,1,6,385
LEACH,1,7,435
LEACH,1,8,814
LEACH,1,9,335
LEACH,1,10,494
LEACH,1,11,782
LEACH,1,12,736
LEACH,1,13,920
LEACH,1,14,725
LEACH,1,15,857
LEACH,1,16,323
LEACH,1,17,442
LEACH,1,18,307
LEACH,1,19,638
LEACH,1,20,498
LEACH,1,21,307
LEACH,1,22,735
LEACH,1,23,931
LEACH,1,24,811
LEACH,1,25,681
LEACH,1,26,672
LEACH,1,27,712
LEACH,1,28,815
LEACH,1,29,656
LEACH,1,30,799
LEACH,1,31,546
LEACH,1,32,646
LEACH,1,33,481
LEACH,1,34,487
LEACH,1,35,309
LEACH,1,36,922
LEACH,1,37,833
LEACH,1,38,671
LEACH,1,39,723
LEACH,1,40,247
LEACH,1,41,896
LEACH,1,42,748
LEACH,1,43,631
LEACH,1,44,315
LEACH,1,45,596
LEACH,1,46,677
LEACH,1,47,311
LEACH,1,48,283
LEACH,1,49,642
LEACH,1,50,802
LEACH,1,51,387
LEACH,1,52,714
LEACH,1,53,391
LEACH,1,54,718
LEACH,1,55,289
LEACH,1,56,704
