Round,Mean,Std
1,1.5711134713656937e-06,5.777380234551771e-07
2,2.9609448459673326e-06,8.10835659683164e-07
3,4.200884497200878e-06,9.672427452627219e-07
4,5.28587980003785e-06,1.2597243608451545e-06
5,6.903548085501888e-06,1.3784291678336842e-06
6,7.85647381900669e-06,1.4198404254745025e-06
7,8.743076635228136e-06,1.5133342771368076e-06
8,1.018564955744772e-05,1.662767286052364e-06
9,1.0874718434726892e-05,2.155020335239115e-06
10,1.10765597259611e-05,2.2942315906937014e-06
11,1.13297697512899e-05,2.4343722804372276e-06
12,1.1526789098723763e-05,2.12146547839816e-06
13,1.1920994745261095e-05,2.26466595689872e-06
14,1.1823430835327455e-05,2.0330336233462217e-06
15,1.1805910319038328e-05,2.1401371884101442e-06
16,1.1582113459252568e-05,2.42271188140019e-06
17,1.1295442479047381e-05,2.574683108315034e-06
18,1.0550181651342025e-05,2.6240579789955558e-06
19,9.472725111232833e-06,2.4567401443668682e-06
20,1.1483361479949418e-05,2.6789453452955454e-06
21,1.448875689512314e-05,2.659882478949709e-06
22,1.848573925308788e-05,3.0462733341283733e-06
23,2.2227757790268702e-05,2.8514598159318482e-06
24,2.574957858525658e-05,3.3247260578350636e-06
25,2.903629090907549e-05,3.598656534746366e-06
26,3.1402003881172044e-05,4.634198173850513e-06
27,3.420513215852534e-05,5.1899896132718186e-06
28,3.677298469188883e-05,5.132974726655568e-06
29,3.9055147160007356e-05,5.649514550091868e-06
30,4.1043723685508004e-05,5.867867585171288e-06
31,4.2456846179646725e-05,6.051822167949155e-06
32,4.33565699660837e-05,6.105497606080972e-06
33,4.3361423338951886e-05,6.554656472813327e-06
34,4.363853083932864e-05,6.5902758939388555e-06
35,4.370212464635507e-05,6.678207704585752e-06
36,4.3364784594937746e-05,6.823376483476682e-06
37,4.2850109227111166e-05,6.345297633771477e-06
38,4.1671603158557674e-05,6.470600761895269e-06
39,4.0125698131245264e-05,6.726430153634217e-06
40,4.506058455608641e-05,7.947839484867792e-06
41,5.121999004818091e-05,9.79222375081657e-06
42,5.818938905319993e-05,1.1100693430351926e-05
43,6.587940371711732e-05,1.1628175742792624e-05
44,7.403203341305033e-05,1.2986935070777607e-05
45,8.260422452987023e-05,1.4838479766707765e-05
46,9.202047002590573e-05,1.6908667044227266e-05
47,0.00010000633813958043,1.7764136925018302e-05
48,0.00010783566115925964,1.8382542423283642e-05
49,0.00011608121741652978,2.074466035914374e-05
50,0.00012238638891823192,2.346447763839009e-05
51,0.00012855928112177315,2.5845249365157657e-05
52,0.0001323628816461237,2.699529070241483e-05
53,0.00013509137600317694,2.6502812478147157e-05
54,0.00013789853416929177,2.7388848480700416e-05
55,0.00014023187275741917,2.9097398059709865e-05
56,0.0001409603571632173,2.9603577404231237e-05
57,0.00014225845701265792,3.0508796989847606e-05
58,0.00014277510688410813,3.1407571958508326e-05
59,0.0001430499630215185,3.3041633906155063e-05
60,0.0001495131904933697,3.5353788555963574e-05
61,0.0001554731210986088,3.6882537303034994e-05
62,0.00016546465896818445,3.91686441108816e-05
63,0.00017911353208382297,4.1770753523693815e-05
64,0.00019454762121330196,4.5500019226904514e-05
65,0.00021102478935105845,4.9454914537067154e-05
66,0.00022907082851930552,5.3762891985497256e-05
67,0.0002482564264377593,5.78263798597817e-05
68,0.0002656397760520346,6.249884235008692e-05
69,0.0002850453289468732,6.704675581389886e-05
70,0.00030341698060119414,7.07226779351435e-05
71,0.00031806551638145596,7.258978855009869e-05
72,0.0003331728730557437,7.10124870530442e-05
73,0.00034522468780264935,7.365434900874674e-05
74,0.0003541980098883062,7.611055889689554e-05
75,0.00036029687867802733,7.597490271287721e-05
76,0.00036574248334361986,7.714440042697817e-05
77,0.0003681409873122541,7.732974250004953e-05
78,0.0003715765335503116,7.847848175706373e-05
79,0.0003781565580551389,8.219765711988546e-05
80,0.0003968672274605171,8.321943029216489e-05
