Round,Mean,Std
1,9.9,21.28973066008463
2,15.8,21.912745630172218
3,21.35,22.304767014675303
4,27.2,22.84178995659168
5,31.5,22.78388165256076
6,36.65,22.972008138052203
7,41.3,22.81758324764386
8,50.1,29.985786106438045
9,55.1,29.749657229338926
10,61.0,30.043827634763325
11,66.15,30.002236758720436
12,72.0,29.79579624182261
13,76.3,30.20648239943487
14,81.7,30.37329159154903
15,87.1,29.39906908658665
16,92.65,29.354951164918276
17,97.75,30.85087220467962
18,103.6,30.48105537612018
19,110.0,30.779350562554622
20,114.25,30.233956162949596
21,160.05,59.590245581144
22,195.8,77.53206467411776
23,226.6,103.88374068615053
24,257.9,112.88834726121391
25,298.8,131.5609124482288
26,311.5,135.95452025934028
27,318.3,134.28920088258852
28,325.95,142.62186847892949
29,339.1,155.63381448299182
30,346.95,163.12942069025087
31,351.4,162.51652547550842
32,356.05,162.64830479482893
33,361.45,162.3571355798205
34,367.65,161.68854888984953
35,374.65,162.6048730414993
36,382.7,163.60321062349536
37,392.05,164.50835045194833
38,405.25,166.12641825460892
39,425.05,165.09183249905107
40,500.3,148.85602369227013
41,585.45,149.76770609672062
42,641.0,178.5641562428945
43,696.55,203.31864413435275
44,762.0,207.92660648462123
45,827.45,221.13212887559476
46,892.9,234.72377943356943
47,948.55,231.49070118871322
48,974.55,251.9965486396903
49,995.8,259.67846515095914
50,1017.15,261.5814807141966
51,1034.3,269.0901042597559
52,1041.8,278.65080958829196
53,1045.5,278.74049429154485
54,1050.15,278.66359175253064
55,1061.35,285.1878928189735
56,1069.6,285.5820280354527
57,1080.7,286.1689048538697
58,1097.45,287.5884257608066
59,1135.05,288.86629123268483
60,1163.65,305.7500312002394
61,1206.9,318.8520362999609
62,1268.95,323.8944719308565
63,1339.85,340.7958603343835
64,1430.25,339.9721157296348
65,1520.35,344.91116705304677
66,1610.45,353.9593308485268
67,1690.7,357.5547216124665
68,1761.65,360.3973355529758
69,1841.9,361.6185690388205
70,1897.55,378.86679717283226
71,1933.5,363.99428856132226
72,1989.05,353.0235529640599
73,2015.8,365.16796423736724
74,2032.9,377.1675461843673
75,2046.3,375.3841681320758
76,2051.05,375.75530601709403
77,2060.1,375.02489741910534
78,2076.3,375.3829062647758
79,2125.75,378.1231872509832
80,2187.2,375.24105936261685
81,2228.8,363.92763884567694
82,2260.35,362.57547671593767
83,2287.6,355.9778822224479
84,2329.75,348.13924543281
85,2376.5,325.6704016737103
86,2428.8,316.31007438571214
87,2492.0,320.0922564380134
88,2543.8,303.7659417519039
89,2600.5,292.30508575441297
90,2636.95,287.49068177118914
91,2698.05,278.4900026552971
92,2748.65,279.0371178855866
93,2789.55,294.6808219788069
94,2831.0,298.1244883036544
95,2848.05,311.07444954205863
96,2850.9,310.9472624095604
97,2855.65,309.7228429962572
98,2868.65,307.17683489276476
99,2924.85,307.20578993310176
100,2963.25,301.0411538573912
101,3039.35,291.9183871167455
102,3110.2,292.8720935116467
103,3190.8,298.8846987684293
104,3266.05,296.5328551957208
105,3326.65,302.7165210312499
106,3382.6,303.7537784040502
107,3443.6,311.97543762964824
108,3494.75,318.5691489011121
109,3545.85,328.6917088605738
110,3592.0,330.46331112545613
111,3633.25,356.12813705182015
112,3689.15,371.97457114559245
113,3730.8,387.3992364745349
114,3738.3,395.016735155147
115,3754.85,399.38245421756085
116,3762.45,403.6259961113036
117,3766.35,403.0002318139597
