Round,Mean,Std
1,100.0,0.0
2,100.0,0.0
3,100.0,0.0
4,100.0,0.0
5,100.0,0.0
6,100.0,0.0
7,100.0,0.0
8,100.0,0.0
9,100.0,0.0
10,100.0,0.0
11,100.0,0.0
12,100.0,0.0
13,100.0,0.0
14,100.0,0.0
15,100.0,0.0
16,100.0,0.0
17,100.0,0.0
18,100.0,0.0
19,100.0,0.0
20,100.0,0.0
21,100.0,0.0
22,100.0,0.0
23,100.0,0.0
24,100.0,0.0
25,100.0,0.0
26,100.0,0.0
27,100.0,0.0
28,100.0,0.0
29,100.0,0.0
30,100.0,0.0
31,100.0,0.0
32,100.0,0.0
33,100.0,0.0
34,100.0,0.0
35,100.0,0.0
36,100.0,0.0
37,100.0,0.0
38,100.0,0.0
39,100.0,0.0
40,100.0,0.0
41,100.0,0.0
42,100.0,0.0
43,100.0,0.0
44,100.0,0.0
45,100.0,0.0
46,100.0,0.0
47,100.0,0.0
48,100.0,0.0
49,100.0,0.0
50,100.0,0.0
51,100.0,0.0
52,100.0,0.0
53,100.0,0.0
54,100.0,0.0
55,100.0,0.0
56,100.0,0.0
57,100.0,0.0
58,100.0,0.0
59,100.0,0.0
60,100.0,0.0
61,100.0,0.0
62,100.0,0.0
63,100.0,0.0
64,100.0,0.0
65,100.0,0.0
66,100.0,0.0
67,100.0,0.0
68,100.0,0.0
69,100.0,0.0
70,100.0,0.0
71,100.0,0.0
72,100.0,0.0
73,100.0,0.0
74,100.0,0.0
75,100.0,0.0
76,100.0,0.0
77,100.0,0.0
78,100.0,0.0
79,100.0,0.0
80,100.0,0.0
81,100.0,0.0
82,100.0,0.0
83,100.0,0.0
84,100.0,0.0
85,100.0,0.0
86,100.0,0.0
87,100.0,0.0
88,100.0,0.0
89,100.0,0.0
90,100.0,0.0
91,100.0,0.0
92,100.0,0.0
93,100.0,0.0
94,100.0,0.0
95,100.0,0.0
96,100.0,0.0
97,100.0,0.0
98,100.0,0.0
99,100.0,0.0
100,100.0,0.0
101,100.0,0.0
102,100.0,0.0
103,100.0,0.0
104,100.0,0.0
105,100.0,0.0
106,100.0,0.0
107,100.0,0.0
108,100.0,0.0
109,100.0,0.0
110,100.0,0.0
111,100.0,0.0
112,100.0,0.0
113,100.0,0.0
114,100.0,0.0
115,100.0,0.0
116,100.0,0.0
117,100.0,0.0
118,100.0,0.0
119,100.0,0.0
120,100.0,0.0
121,100.0,0.0
122,100.0,0.0
123,100.0,0.0
124,100.0,0.0
125,100.0,0.0
126,100.0,0.0
127,100.0,0.0
128,100.0,0.0
129,100.0,0.0
130,100.0,0.0
131,100.0,0.0
132,100.0,0.0
133,100.0,0.0
134,100.0,0.0
135,100.0,0.0
136,100.0,0.0
137,100.0,0.0
138,100.0,0.0
139,100.0,0.0
140,100.0,0.0
141,100.0,0.0
142,100.0,0.0
143,100.0,0.0
144,100.0,0.0
145,100.0,0.0
146,100.0,0.0
147,100.0,0.0
148,100.0,0.0
149,100.0,0.0
150,100.0,0.0
151,100.0,0.0
152,100.0,0.0
153,100.0,0.0
154,100.0,0.0
155,100.0,0.0
156,100.0,0.0
157,100.0,0.0
158,100.0,0.0
159,100.0,0.0
160,100.0,0.0
161,100.0,0.0
162,100.0,0.0
163,100.0,0.0
164,100.0,0.0
165,100.0,0.0
166,100.0,0.0
167,100.0,0.0
168,100.0,0.0
169,100.0,0.0
170,100.0,0.0
171,100.0,0.0
172,100.0,0.0
173,100.0,0.0
174,100.0,0.0
175,100.0,0.0
176,100.0,0.0
177,100.0,0.0
178,100.0,0.0
179,100.0,0.0
180,100.0,0.0
181,100.0,0.0
182,100.0,0.0
183,100.0,0.0
184,100.0,0.0
185,100.0,0.0
186,100.0,0.0
187,100.0,0.0
188,100.0,0.0
189,100.0,0.0
190,100.0,0.0
191,100.0,0.0
192,100.0,0.0
193,100.0,0.0
194,100.0,0.0
195,100.0,0.0
196,100.0,0.0
197,100.0,0.0
198,100.0,0.0
199,100.0,0.0
200,100.0,0.0
201,100.0,0.0
202,100.0,0.0
203,100.0,0.0
204,100.0,0.0
205,100.0,0.0
206,100.0,0.0
207,100.0,0.0
208,100.0,0.0
209,100.0,0.0
210,100.0,0.0
211,100.0,0.0
212,100.0,0.0
213,100.0,0.0
214,100.0,0.0
215,100.0,0.0
216,100.0,0.0
217,100.0,0.0
218,100.0,0.0
219,100.0,0.0
220,100.0,0.0
221,100.0,0.0
222,100.0,0.0
223,100.0,0.0
224,100.0,0.0
225,100.0,0.0
226,100.0,0.0
227,100.0,0.0
228,100.0,0.0
229,100.0,0.0
230,100.0,0.0
231,100.0,0.0
232,100.0,0.0
233,100.0,0.0
234,100.0,0.0
235,100.0,0.0
236,100.0,0.0
237,100.0,0.0
238,100.0,0.0
239,100.0,0.0
240,100.0,0.0
241,100.0,0.0
242,100.0,0.0
243,100.0,0.0
244,100.0,0.0
245,100.0,0.0
246,100.0,0.0
247,100.0,0.0
248,100.0,0.0
249,100.0,0.0
250,100.0,0.0
251,100.0,0.0
252,100.0,0.0
253,100.0,0.0
254,100.0,0.0
255,100.0,0.0
256,100.0,0.0
257,100.0,0.0
258,100.0,0.0
259,100.0,0.0
260,100.0,0.0
261,100.0,0.0
262,100.0,0.0
263,100.0,0.0
264,100.0,0.0
265,100.0,0.0
266,100.0,0.0
267,100.0,0.0
268,100.0,0.0
269,100.0,0.0
270,100.0,0.0
271,100.0,0.0
272,100.0,0.0
273,100.0,0.0
274,100.0,0.0
275,100.0,0.0
276,100.0,0.0
277,100.0,0.0
278,100.0,0.0
279,100.0,0.0
280,100.0,0.0
281,100.0,0.0
282,100.0,0.0
283,100.0,0.0
284,100.0,0.0
285,100.0,0.0
286,100.0,0.0
287,100.0,0.0
288,100.0,0.0
289,100.0,0.0
290,100.0,0.0
291,100.0,0.0
292,100.0,0.0
293,100.0,0.0
294,100.0,0.0
295,100.0,0.0
296,100.0,0.0
297,100.0,0.0
298,100.0,0.0
299,100.0,0.0
300,100.0,0.0
301,100.0,0.0
302,100.0,0.0
303,100.0,0.0
304,100.0,0.0
305,100.0,0.0
306,100.0,0.0
307,100.0,0.0
308,100.0,0.0
309,100.0,0.0
310,100.0,0.0
311,100.0,0.0
312,100.0,0.0
313,100.0,0.0
314,100.0,0.0
315,100.0,0.0
316,100.0,0.0
317,100.0,0.0
318,100.0,0.0
319,100.0,0.0
320,100.0,0.0
321,100.0,0.0
322,100.0,0.0
323,100.0,0.0
324,100.0,0.0
325,100.0,0.0
326,100.0,0.0
327,100.0,0.0
328,100.0,0.0
329,100.0,0.0
330,100.0,0.0
331,100.0,0.0
332,100.0,0.0
333,100.0,0.0
334,100.0,0.0
335,100.0,0.0
336,100.0,0.0
337,100.0,0.0
338,100.0,0.0
339,100.0,0.0
340,100.0,0.0
341,100.0,0.0
342,100.0,0.0
343,100.0,0.0
344,100.0,0.0
345,100.0,0.0
346,100.0,0.0
347,100.0,0.0
348,100.0,0.0
349,100.0,0.0
350,100.0,0.0
351,100.0,0.0
352,100.0,0.0
353,100.0,0.0
354,100.0,0.0
355,100.0,0.0
356,100.0,0.0
357,100.0,0.0
358,100.0,0.0
359,100.0,0.0
360,100.0,0.0
361,100.0,0.0
362,100.0,0.0
363,100.0,0.0
364,100.0,0.0
365,100.0,0.0
366,100.0,0.0
367,100.0,0.0
368,100.0,0.0
369,100.0,0.0
370,100.0,0.0
371,100.0,0.0
372,100.0,0.0
373,100.0,0.0
374,100.0,0.0
375,100.0,0.0
376,100.0,0.0
377,100.0,0.0
378,100.0,0.0
379,100.0,0.0
380,100.0,0.0
381,100.0,0.0
382,100.0,0.0
383,100.0,0.0
384,100.0,0.0
385,100.0,0.0
386,100.0,0.0
387,100.0,0.0
388,100.0,0.0
389,100.0,0.0
390,100.0,0.0
391,100.0,0.0
392,100.0,0.0
393,100.0,0.0
394,100.0,0.0
395,100.0,0.0
396,100.0,0.0
397,100.0,0.0
398,100.0,0.0
399,100.0,0.0
400,100.0,0.0
401,100.0,0.0
402,100.0,0.0
403,100.0,0.0
404,100.0,0.0
405,100.0,0.0
406,100.0,0.0
407,100.0,0.0
408,100.0,0.0
409,100.0,0.0
410,100.0,0.0
411,100.0,0.0
412,100.0,0.0
413,100.0,0.0
414,100.0,0.0
415,100.0,0.0
416,100.0,0.0
417,100.0,0.0
418,100.0,0.0
419,100.0,0.0
420,100.0,0.0
421,100.0,0.0
422,100.0,0.0
423,100.0,0.0
424,100.0,0.0
425,100.0,0.0
426,100.0,0.0
427,100.0,0.0
428,100.0,0.0
429,100.0,0.0
430,100.0,0.0
431,100.0,0.0
432,100.0,0.0
433,100.0,0.0
434,100.0,0.0
435,100.0,0.0
436,100.0,0.0
437,100.0,0.0
438,100.0,0.0
439,100.0,0.0
440,100.0,0.0
441,100.0,0.0
442,100.0,0.0
443,100.0,0.0
444,100.0,0.0
445,100.0,0.0
446,100.0,0.0
447,100.0,0.0
448,100.0,0.0
449,100.0,0.0
450,100.0,0.0
451,100.0,0.0
452,100.0,0.0
453,100.0,0.0
454,100.0,0.0
455,100.0,0.0
456,100.0,0.0
457,100.0,0.0
458,100.0,0.0
459,100.0,0.0
460,100.0,0.0
461,100.0,0.0
462,100.0,0.0
463,100.0,0.0
464,100.0,0.0
465,100.0,0.0
466,100.0,0.0
467,100.0,0.0
468,100.0,0.0
469,100.0,0.0
470,100.0,0.0
471,100.0,0.0
472,100.0,0.0
473,100.0,0.0
474,100.0,0.0
475,100.0,0.0
476,100.0,0.0
477,100.0,0.0
478,100.0,0.0
479,100.0,0.0
480,100.0,0.0
481,100.0,0.0
482,100.0,0.0
483,100.0,0.0
484,100.0,0.0
485,100.0,0.0
486,100.0,0.0
487,100.0,0.0
488,100.0,0.0
489,100.0,0.0
490,100.0,0.0
491,100.0,0.0
492,100.0,0.0
493,100.0,0.0
494,100.0,0.0
495,100.0,0.0
496,100.0,0.0
497,100.0,0.0
498,100.0,0.0
499,100.0,0.0
500,100.0,0.0
501,100.0,0.0
502,100.0,0.0
503,100.0,0.0
504,100.0,0.0
505,100.0,0.0
506,100.0,0.0
507,100.0,0.0
508,100.0,0.0
509,100.0,0.0
510,100.0,0.0
511,100.0,0.0
512,100.0,0.0
513,100.0,0.0
514,100.0,0.0
515,100.0,0.0
516,100.0,0.0
517,100.0,0.0
518,100.0,0.0
519,100.0,0.0
520,100.0,0.0
521,100.0,0.0
522,100.0,0.0
523,100.0,0.0
524,100.0,0.0
525,100.0,0.0
526,100.0,0.0
527,100.0,0.0
528,100.0,0.0
529,100.0,0.0
530,100.0,0.0
531,100.0,0.0
532,100.0,0.0
533,100.0,0.0
534,100.0,0.0
535,100.0,0.0
536,100.0,0.0
537,100.0,0.0
538,100.0,0.0
539,100.0,0.0
540,100.0,0.0
541,100.0,0.0
542,100.0,0.0
543,100.0,0.0
544,100.0,0.0
545,100.0,0.0
546,100.0,0.0
547,100.0,0.0
548,100.0,0.0
549,100.0,0.0
550,100.0,0.0
551,100.0,0.0
552,100.0,0.0
553,100.0,0.0
554,100.0,0.0
555,100.0,0.0
556,100.0,0.0
557,100.0,0.0
558,100.0,0.0
559,100.0,0.0
560,100.0,0.0
561,100.0,0.0
562,100.0,0.0
563,99.95,0.223606797749979
564,99.95,0.223606797749979
565,99.95,0.223606797749979
566,99.95,0.223606797749979
567,99.95,0.223606797749979
568,99.95,0.223606797749979
569,99.95,0.223606797749979
570,99.95,0.223606797749979
571,99.95,0.223606797749979
572,99.95,0.223606797749979
573,99.95,0.223606797749979
574,99.95,0.223606797749979
575,99.95,0.223606797749979
576,99.95,0.223606797749979
577,99.95,0.223606797749979
578,99.95,0.223606797749979
579,99.9,0.3077935056255463
580,99.9,0.3077935056255463
581,99.9,0.3077935056255463
582,99.9,0.3077935056255463
583,99.9,0.3077935056255463
584,99.9,0.3077935056255463
585,99.9,0.3077935056255463
586,99.9,0.3077935056255463
587,99.9,0.3077935056255463
588,99.9,0.3077935056255463
589,99.9,0.3077935056255463
590,99.9,0.3077935056255463
591,99.9,0.3077935056255463
592,99.85,0.36634754853252327
593,99.85,0.36634754853252327
594,99.85,0.36634754853252327
595,99.85,0.36634754853252327
596,99.85,0.36634754853252327
597,99.85,0.36634754853252327
598,99.85,0.36634754853252327
599,99.85,0.36634754853252327
600,99.85,0.36634754853252327
601,99.85,0.36634754853252327
602,99.85,0.36634754853252327
603,99.85,0.36634754853252327
604,99.8,0.4103913408340615
605,99.75,0.4442616583193193
606,99.7,0.47016234598162715
607,99.7,0.47016234598162715
608,99.7,0.47016234598162715
609,99.65,0.4893604849295929
610,99.65,0.4893604849295929
611,99.65,0.4893604849295929
612,99.65,0.4893604849295929
613,99.65,0.4893604849295929
614,99.6,0.5982430416161189
615,99.55,0.6863327411532596
616,99.5,0.7608859102526822
617,99.45,0.8255779474818964
618,99.45,0.8255779474818964
619,99.45,0.8255779474818964
620,99.45,0.8255779474818964
621,99.45,0.8255779474818964
622,99.45,0.8255779474818964
623,99.4,0.8825799501580877
624,99.35,0.9880869341680842
625,99.15,1.1821033884786183
626,99.1,1.1652874052533584
627,99.1,1.1652874052533584
628,99.1,1.1652874052533584
629,99.05,1.1459310165698642
630,98.85,1.3088765773505315
631,98.75,1.3717065820970682
632,98.75,1.3717065820970682
633,98.7,1.3803127029389886
634,98.55,1.5381123085406379
635,98.55,1.5381123085406379
636,98.5,1.538967528127731
637,98.2,1.8524521444205841
638,98.2,1.8524521444205841
639,98.05,2.0641042405337657
640,98.05,2.0641042405337657
641,98.0,2.1026299321513875
642,97.95,2.1144863753590246
643,97.8,2.117595458607661
644,97.65,2.158825216591069
645,97.6,2.1126187291456175
646,97.55,2.1878853044122666
647,97.35,2.323223713087621
648,97.25,2.29128784747792
649,97.2,2.2384204957490614
650,97.1,2.3597502097958545
651,96.85,2.4978938496682614
652,96.75,2.510504247944498
653,96.5,2.8377159087807518
654,96.15,3.0655127501043986
655,96.0,3.008759142727674
656,95.75,3.058637467549029
657,95.4,3.500375919661682
658,94.9,3.8784153030790676
659,94.6,4.159959513973031
660,94.4,4.247599941514961
661,94.35,4.246050796731129
662,94.2,4.274773001052374
663,93.9,4.375770608824533
664,93.4,4.615762467663901
665,93.25,4.8108977168617155
666,93.2,4.851478342244058
667,93.1,4.745080555025827
668,92.7,5.00631180558471
669,92.35,4.987088592714085
670,92.15,4.997631017739673
671,92.0,4.994734069102441
672,91.9,5.108300778351374
673,91.55,5.020746432239145
674,91.4,5.0408854694179945
675,91.1,5.280550210566678
676,90.75,5.270324068733695
677,90.4,5.442522634916546
678,89.95,5.986607861235821
679,89.4,6.193375068316314
680,89.15,6.393047210179113
681,88.7,7.03450144120504
682,88.3,7.954475734485983
683,88.15,8.29251406231453
684,87.55,8.87026374733967
685,86.75,10.310316754539958
686,85.95,12.279529392662537
687,85.3,13.243071674215958
688,84.6,14.612179490879662
689,83.75,15.807643054781076
690,82.6,17.548129305007503
691,82.0,18.344653602329853
692,81.25,19.40123436116481
693,80.6,19.733487434201525
694,79.85,20.358045092788256
695,83.0,8.266397845091497
696,82.3157894736842,8.50524434020268
697,81.42105263157895,9.15493667356995
698,80.10526315789474,10.224669170644244
699,79.05263157894737,10.911124212424097
700,77.78947368421052,11.970235992143277
701,76.47368421052632,12.668282445420889
702,74.84210526315789,13.001124557748144
703,72.94736842105263,13.930277512632237
704,71.05263157894737,14.558211444673974
705,68.73684210526316,15.548640902603953
706,66.10526315789474,17.081161607787248
707,62.473684210526315,19.088590021419808
708,59.36842105263158,19.599349553594287
709,56.10526315789474,19.79588828475389
710,52.68421052631579,20.559000817643913
711,48.89473684210526,21.545545393788238
