Algorithm,Seed,NodeID,CHSelections
Proposed,0,0,35
Proposed,0,1,52
Proposed,0,2,46
Proposed,0,3,29
Proposed,0,4,48
Proposed,0,5,26
Proposed,0,6,47
Proposed,0,7,37
Proposed,0,8,31
Proposed,0,9,25
Proposed,0,10,32
Proposed,0,11,24
Proposed,0,12,39
Proposed,0,13,37
Proposed,0,14,25
Proposed,0,15,30
Proposed,0,16,34
Proposed,0,17,72
Proposed,0,18,25
Proposed,0,19,31
Proposed,0,20,25
Proposed,0,21,23
Proposed,0,22,23
Proposed,0,23,101
Proposed,0,24,26
Proposed,0,25,27
Proposed,0,26,21
Proposed,0,27,23
Proposed,0,28,36
Proposed,0,29,26
Proposed,0,30,37
Proposed,0,31,35
Proposed,0,32,25
Proposed,0,33,41
Proposed,0,34,58
Proposed,0,35,37
Proposed,0,36,63
Proposed,0,37,26
Proposed,0,38,37
Proposed,0,39,43
Proposed,0,40,42
Proposed,0,41,43
Proposed,0,42,25
Proposed,0,43,36
Proposed,0,44,20
Proposed,0,45,47
Proposed,0,46,45
Proposed,0,47,40
Proposed,0,48,24
Proposed,0,49,34
Proposed,0,50,46
Proposed,0,51,18
Proposed,0,52,40
Proposed,0,53,37
Proposed,0,54,43
Proposed,0,55,21
Proposed,0,56,16
Proposed,0,57,23
Proposed,0,58,19
Proposed,0,59,37
Proposed,0,60,24
Proposed,0,61,48
Proposed,0,62,41
Proposed,0,63,36
Proposed,0,64,52
Proposed,0,65,30
Proposed,0,66,21
Proposed,0,67,38
Proposed,0,68,27
Proposed,0,69,48
Proposed,0,70,28
Proposed,0,71,27
Proposed,0,72,34
Proposed,0,73,22
Proposed,0,74,37
Proposed,0,75,34
Proposed,0,76,40
Proposed,0,77,33
Proposed,0,78,31
Proposed,0,79,37
Proposed,0,80,20
Proposed,0,81,37
Proposed,0,82,30
Proposed,0,83,37
Proposed,0,84,30
Proposed,0,85,26
Proposed,0,86,20
Proposed,0,87,24
Proposed,0,88,26
Proposed,0,89,19
Proposed,0,90,54
Proposed,0,91,24
Proposed,0,92,40
Proposed,0,93,18
Proposed,0,94,27
Proposed,0,95,100
Proposed,0,96,35
Proposed,0,97,45
Proposed,0,98,32
Proposed,0,99,74
Proposed,1,0,35
Proposed,1,1,17
Proposed,1,2,29
Proposed,1,3,41
Proposed,1,4,34
Proposed,1,5,44
Proposed,1,6,22
Proposed,1,7,30
Proposed,1,8,49
Proposed,1,9,26
Proposed,1,10,16
Proposed,1,11,36
Proposed,1,12,31
Proposed,1,13,61
Proposed,1,14,23
Proposed,1,15,42
Proposed,1,16,18
Proposed,1,17,20
Proposed,1,18,19
Proposed,1,19,32
Proposed,1,20,19
Proposed,1,21,24
Proposed,1,22,60
Proposed,1,23,40
Proposed,1,24,29
Proposed,1,25,42
Proposed,1,26,43
Proposed,1,27,34
Proposed,1,28,33
Proposed,1,29,37
Proposed,1,30,56
Proposed,1,31,39
Proposed,1,32,25
Proposed,1,33,36
Proposed,1,34,17
Proposed,1,35,22
Proposed,1,36,67
Proposed,1,37,44
Proposed,1,38,29
Proposed,1,39,32
Proposed,1,40,20
Proposed,1,41,29
Proposed,1,42,30
Proposed,1,43,33
Proposed,1,44,20
Proposed,1,45,24
Proposed,1,46,30
Proposed,1,47,28
Proposed,1,48,26
Proposed,1,49,59
Proposed,1,50,80
Proposed,1,51,18
Proposed,1,52,32
Proposed,1,53,23
Proposed,1,54,27
Proposed,1,55,23
Proposed,1,56,43
Proposed,1,57,28
Proposed,1,58,34
Proposed,1,59,28
Proposed,1,60,31
Proposed,1,61,21
Proposed,1,62,35
Proposed,1,63,24
Proposed,1,64,29
Proposed,1,65,19
Proposed,1,66,51
Proposed,1,67,41
Proposed,1,68,38
Proposed,1,69,47
Proposed,1,70,45
Proposed,1,71,24
Proposed,1,72,69
Proposed,1,73,26
Proposed,1,74,36
Proposed,1,75,30
Proposed,1,76,50
Proposed,1,77,31
Proposed,1,78,39
Proposed,1,79,45
Proposed,1,80,36
Proposed,1,81,25
Proposed,1,82,26
Proposed,1,83,20
Proposed,1,84,68
Proposed,1,85,51
Proposed,1,86,36
Proposed,1,87,32
Proposed,1,88,18
Proposed,1,89,34
Proposed,1,90,29
Proposed,1,91,64
Proposed,1,92,35
Proposed,1,93,37
Proposed,1,94,35
Proposed,1,95,47
Proposed,1,96,39
Proposed,1,97,52
Proposed,1,98,22
Proposed,1,99,103
Proposed,2,0,25
Proposed,2,1,35
Proposed,2,2,41
Proposed,2,3,41
Proposed,2,4,37
Proposed,2,5,54
Proposed,2,6,28
Proposed,2,7,28
Proposed,2,8,19
Proposed,2,9,32
Proposed,2,10,24
Proposed,2,11,43
Proposed,2,12,44
Proposed,2,13,84
Proposed,2,14,25
Proposed,2,15,32
Proposed,2,16,51
Proposed,2,17,29
Proposed,2,18,28
Proposed,2,19,73
Proposed,2,20,40
Proposed,2,21,24
Proposed,2,22,29
Proposed,2,23,43
Proposed,2,24,33
Proposed,2,25,40
Proposed,2,26,23
Proposed,2,27,28
Proposed,2,28,33
Proposed,2,29,73
Proposed,2,30,28
Proposed,2,31,20
Proposed,2,32,46
Proposed,2,33,45
Proposed,2,34,31
Proposed,2,35,29
Proposed,2,36,33
Proposed,2,37,23
Proposed,2,38,28
Proposed,2,39,39
Proposed,2,40,43
Proposed,2,41,34
Proposed,2,42,28
Proposed,2,43,32
Proposed,2,44,22
Proposed,2,45,29
Proposed,2,46,32
Proposed,2,47,35
Proposed,2,48,42
Proposed,2,49,44
Proposed,2,50,32
Proposed,2,51,22
Proposed,2,52,32
Proposed,2,53,38
Proposed,2,54,31
Proposed,2,55,27
Proposed,2,56,35
Proposed,2,57,25
Proposed,2,58,43
Proposed,2,59,44
Proposed,2,60,32
Proposed,2,61,22
Proposed,2,62,45
Proposed,2,63,55
Proposed,2,64,32
Proposed,2,65,43
Proposed,2,66,34
Proposed,2,67,27
Proposed,2,68,50
Proposed,2,69,35
Proposed,2,70,62
Proposed,2,71,22
Proposed,2,72,40
Proposed,2,73,51
Proposed,2,74,29
Proposed,2,75,23
Proposed,2,76,27
Proposed,2,77,37
Proposed,2,78,42
Proposed,2,79,39
Proposed,2,80,22
Proposed,2,81,27
Proposed,2,82,30
Proposed,2,83,23
Proposed,2,84,24
Proposed,2,85,29
Proposed,2,86,32
Proposed,2,87,35
Proposed,2,88,24
Proposed,2,89,37
Proposed,2,90,19
Proposed,2,91,49
Proposed,2,92,65
Proposed,2,93,19
Proposed,2,94,72
Proposed,2,95,26
Proposed,2,96,26
Proposed,2,97,47
Proposed,2,98,29
Proposed,2,99,30
Proposed,3,0,45
Proposed,3,1,42
Proposed,3,2,30
Proposed,3,3,29
Proposed,3,4,33
Proposed,3,5,27
Proposed,3,6,35
Proposed,3,7,39
Proposed,3,8,45
Proposed,3,9,30
Proposed,3,10,31
Proposed,3,11,23
Proposed,3,12,40
Proposed,3,13,32
Proposed,3,14,29
Proposed,3,15,48
Proposed,3,16,35
Proposed,3,17,43
Proposed,3,18,34
Proposed,3,19,42
Proposed,3,20,47
Proposed,3,21,32
Proposed,3,22,28
Proposed,3,23,43
Proposed,3,24,34
Proposed,3,25,32
Proposed,3,26,28
Proposed,3,27,22
Proposed,3,28,35
Proposed,3,29,62
Proposed,3,30,41
Proposed,3,31,40
Proposed,3,32,34
Proposed,3,33,23
Proposed,3,34,81
Proposed,3,35,25
Proposed,3,36,43
Proposed,3,37,29
Proposed,3,38,56
Proposed,3,39,27
Proposed,3,40,20
Proposed,3,41,30
Proposed,3,42,28
Proposed,3,43,32
Proposed,3,44,28
Proposed,3,45,46
Proposed,3,46,30
Proposed,3,47,45
Proposed,3,48,36
Proposed,3,49,49
Proposed,3,50,35
Proposed,3,51,35
Proposed,3,52,30
Proposed,3,53,26
Proposed,3,54,39
Proposed,3,55,42
Proposed,3,56,29
Proposed,3,57,28
Proposed,3,58,25
Proposed,3,59,45
Proposed,3,60,42
Proposed,3,61,34
Proposed,3,62,34
Proposed,3,63,43
Proposed,3,64,25
Proposed,3,65,25
Proposed,3,66,22
Proposed,3,67,24
Proposed,3,68,35
Proposed,3,69,37
Proposed,3,70,20
Proposed,3,71,31
Proposed,3,72,41
Proposed,3,73,26
Proposed,3,74,28
Proposed,3,75,34
