Algorithm,Seed,NodeID,DeathRound
Proposed,0,0,707
Proposed,0,1,722
Proposed,0,2,695
Proposed,0,3,720
Proposed,0,4,684
Proposed,0,5,719
Proposed,0,6,693
Proposed,0,7,705
Proposed,0,8,724
Proposed,0,9,693
Proposed,0,10,712
Proposed,0,11,710
Proposed,0,12,708
Proposed,0,13,706
Proposed,0,14,712
Proposed,0,15,707
Proposed,0,16,706
Proposed,0,17,692
Proposed,0,18,718
Proposed,0,19,707
Proposed,0,20,707
Proposed,0,21,715
Proposed,0,22,717
Proposed,0,23,721
Proposed,0,24,708
Proposed,0,25,720
Proposed,0,26,720
Proposed,0,27,716
Proposed,0,28,704
Proposed,0,29,696
Proposed,0,30,711
Proposed,0,31,700
Proposed,0,32,720
Proposed,0,33,691
Proposed,0,34,630
Proposed,0,35,706
Proposed,0,36,647
Proposed,0,37,703
Proposed,0,38,706
Proposed,0,39,693
Proposed,0,40,706
Proposed,0,41,711
Proposed,0,42,721
Proposed,0,43,699
Proposed,0,44,705
Proposed,0,45,709
Proposed,0,46,709
Proposed,0,47,703
Proposed,0,48,670
Proposed,0,49,698
Proposed,0,50,685
Proposed,0,51,710
Proposed,0,52,708
Proposed,0,53,688
Proposed,0,54,696
Proposed,0,55,712
Proposed,0,56,712
Proposed,0,57,717
Proposed,0,58,708
Proposed,0,59,676
Proposed,0,60,698
Proposed,0,61,692
Proposed,0,62,700
Proposed,0,63,697
Proposed,0,64,642
Proposed,0,65,701
Proposed,0,66,715
Proposed,0,67,714
Proposed,0,68,722
Proposed,0,69,714
Proposed,0,70,719
Proposed,0,71,721
Proposed,0,72,710
Proposed,0,73,673
Proposed,0,74,688
Proposed,0,75,710
Proposed,0,76,679
Proposed,0,77,704
Proposed,0,78,707
Proposed,0,79,706
Proposed,0,80,710
Proposed,0,81,671
Proposed,0,82,698
Proposed,0,83,710
Proposed,0,84,702
Proposed,0,85,693
Proposed,0,86,713
Proposed,0,87,717
Proposed,0,88,710
Proposed,0,89,714
Proposed,0,90,633
Proposed,0,91,714
Proposed,0,92,703
Proposed,0,93,717
Proposed,0,94,715
Proposed,0,95,712
Proposed,0,96,709
Proposed,0,97,695
Proposed,0,98,709
Proposed,0,99,663
Proposed,1,0,706
Proposed,1,1,712
Proposed,1,2,714
Proposed,1,3,704
Proposed,1,4,711
Proposed,1,5,699
Proposed,1,6,708
Proposed,1,7,713
Proposed,1,8,719
Proposed,1,9,712
Proposed,1,10,711
Proposed,1,11,710
Proposed,1,12,716
Proposed,1,13,664
Proposed,1,14,679
Proposed,1,15,719
Proposed,1,16,708
Proposed,1,17,704
Proposed,1,18,709
Proposed,1,19,711
Proposed,1,20,705
Proposed,1,21,706
Proposed,1,22,715
Proposed,1,23,715
Proposed,1,24,703
Proposed,1,25,694
Proposed,1,26,714
Proposed,1,27,703
Proposed,1,28,708
Proposed,1,29,711
Proposed,1,30,655
Proposed,1,31,704
Proposed,1,32,698
Proposed,1,33,713
Proposed,1,34,701
Proposed,1,35,707
Proposed,1,36,654
Proposed,1,37,716
Proposed,1,38,695
Proposed,1,39,711
Proposed,1,40,711
Proposed,1,41,702
Proposed,1,42,682
Proposed,1,43,708
Proposed,1,44,713
Proposed,1,45,693
Proposed,1,46,700
Proposed,1,47,707
Proposed,1,48,712
Proposed,1,49,714
Proposed,1,50,717
Proposed,1,51,698
Proposed,1,52,703
Proposed,1,53,710
Proposed,1,54,685
Proposed,1,55,711
Proposed,1,56,705
Proposed,1,57,634
Proposed,1,58,699
Proposed,1,59,711
Proposed,1,60,709
Proposed,1,61,697
Proposed,1,62,702
Proposed,1,63,711
Proposed,1,64,714
Proposed,1,65,700
Proposed,1,66,714
Proposed,1,67,713
Proposed,1,68,703
Proposed,1,69,714
Proposed,1,70,716
Proposed,1,71,713
Proposed,1,72,686
Proposed,1,73,710
Proposed,1,74,717
Proposed,1,75,698
Proposed,1,76,719
Proposed,1,77,711
Proposed,1,78,707
Proposed,1,79,716
Proposed,1,80,718
Proposed,1,81,688
Proposed,1,82,711
Proposed,1,83,695
Proposed,1,84,668
Proposed,1,85,712
Proposed,1,86,712
Proposed,1,87,717
Proposed,1,88,708
Proposed,1,89,707
Proposed,1,90,707
Proposed,1,91,657
Proposed,1,92,694
Proposed,1,93,718
Proposed,1,94,708
Proposed,1,95,716
Proposed,1,96,699
Proposed,1,97,717
Proposed,1,98,710
Proposed,1,99,719
Proposed,2,0,706
Proposed,2,1,719
Proposed,2,2,719
Proposed,2,3,720
Proposed,2,4,720
Proposed,2,5,656
Proposed,2,6,711
Proposed,2,7,717
Proposed,2,8,686
Proposed,2,9,713
Proposed,2,10,717
Proposed,2,11,720
Proposed,2,12,716
Proposed,2,13,721
Proposed,2,14,719
Proposed,2,15,714
Proposed,2,16,592
Proposed,2,17,714
Proposed,2,18,719
Proposed,2,19,654
Proposed,2,20,721
Proposed,2,21,719
Proposed,2,22,707
Proposed,2,23,717
Proposed,2,24,711
Proposed,2,25,718
Proposed,2,26,715
Proposed,2,27,693
Proposed,2,28,720
Proposed,2,29,664
Proposed,2,30,710
Proposed,2,31,711
Proposed,2,32,721
Proposed,2,33,643
Proposed,2,34,709
Proposed,2,35,709
Proposed,2,36,718
Proposed,2,37,718
Proposed,2,38,696
Proposed,2,39,717
Proposed,2,40,717
Proposed,2,41,711
Proposed,2,42,684
Proposed,2,43,720
Proposed,2,44,709
Proposed,2,45,695
Proposed,2,46,718
Proposed,2,47,706
Proposed,2,48,717
Proposed,2,49,719
Proposed,2,50,719
Proposed,2,51,704
Proposed,2,52,717
Proposed,2,53,710
Proposed,2,54,711
Proposed,2,55,719
Proposed,2,56,709
Proposed,2,57,710
Proposed,2,58,712
Proposed,2,59,712
Proposed,2,60,707
Proposed,2,61,715
Proposed,2,62,721
Proposed,2,63,681
Proposed,2,64,720
