Round,Mean,Std
1,5.0,0.0
2,5.0,0.0
3,5.0,0.0
4,5.0,0.0
5,5.0,0.0
6,5.0,0.0
7,5.0,0.0
8,5.0,0.0
9,5.0,0.0
10,5.0,0.0
11,5.0,0.0
12,5.0,0.0
13,5.0,0.0
14,5.0,0.0
15,5.0,0.0
16,5.0,0.0
17,5.0,0.0
18,5.0,0.0
19,5.0,0.0
20,5.0,0.0
21,5.0,0.0
22,5.0,0.0
23,5.0,0.0
24,5.0,0.0
25,5.0,0.0
26,5.0,0.0
27,5.0,0.0
28,5.0,0.0
29,5.0,0.0
30,5.0,0.0
31,5.0,0.0
32,5.0,0.0
33,5.0,0.0
34,5.0,0.0
35,5.0,0.0
36,5.0,0.0
37,5.0,0.0
38,5.0,0.0
39,5.0,0.0
40,5.0,0.0
41,5.0,0.0
42,5.0,0.0
43,5.0,0.0
44,5.0,0.0
45,5.0,0.0
46,5.0,0.0
47,5.0,0.0
48,5.0,0.0
49,5.0,0.0
50,5.0,0.0
51,5.0,0.0
52,5.0,0.0
53,5.0,0.0
54,5.0,0.0
55,5.0,0.0
56,5.0,0.0
57,5.0,0.0
58,5.0,0.0
59,5.0,0.0
60,5.0,0.0
61,5.0,0.0
62,5.0,0.0
63,5.0,0.0
64,5.0,0.0
65,5.0,0.0
66,5.0,0.0
67,5.0,0.0
68,5.0,0.0
69,5.0,0.0
70,5.0,0.0
71,5.0,0.0
72,5.0,0.0
73,5.0,0.0
74,5.0,0.0
75,5.0,0.0
76,5.0,0.0
77,5.0,0.0
78,5.0,0.0
79,5.0,0.0
80,5.0,0.0
81,5.0,0.0
82,5.0,0.0
83,5.0,0.0
84,5.0,0.0
85,5.0,0.0
86,5.0,0.0
87,5.0,0.0
88,5.0,0.0
89,5.0,0.0
90,5.0,0.0
91,5.0,0.0
92,5.0,0.0
93,5.0,0.0
94,5.0,0.0
95,5.0,0.0
96,5.0,0.0
97,5.0,0.0
98,5.0,0.0
99,5.0,0.0
100,5.0,0.0
101,5.0,0.0
102,5.0,0.0
103,5.0,0.0
104,5.0,0.0
105,5.0,0.0
106,5.0,0.0
107,5.0,0.0
108,5.0,0.0
109,5.0,0.0
110,5.0,0.0
111,5.0,0.0
112,5.0,0.0
113,5.0,0.0
114,5.0,0.0
115,5.0,0.0
116,5.0,0.0
117,5.0,0.0
118,5.0,0.0
119,5.0,0.0
120,5.0,0.0
121,5.0,0.0
122,5.0,0.0
123,5.0,0.0
124,5.0,0.0
125,5.0,0.0
126,5.0,0.0
127,5.0,0.0
128,5.0,0.0
129,5.0,0.0
130,5.0,0.0
131,5.0,0.0
132,5.0,0.0
133,5.0,0.0
134,5.0,0.0
135,5.0,0.0
136,5.0,0.0
137,5.0,0.0
138,5.0,0.0
139,5.0,0.0
140,5.0,0.0
141,5.0,0.0
142,5.0,0.0
143,5.0,0.0
144,5.0,0.0
145,5.0,0.0
146,5.0,0.0
147,5.0,0.0
148,5.0,0.0
149,5.0,0.0
150,5.0,0.0
151,5.0,0.0
152,5.0,0.0
153,5.0,0.0
154,5.0,0.0
155,5.0,0.0
156,5.0,0.0
157,5.0,0.0
158,5.0,0.0
159,5.0,0.0
160,5.0,0.0
161,5.0,0.0
162,5.0,0.0
163,5.0,0.0
164,5.0,0.0
165,5.0,0.0
166,5.0,0.0
167,5.0,0.0
168,5.0,0.0
169,5.0,0.0
170,5.0,0.0
171,5.0,0.0
172,5.0,0.0
173,5.0,0.0
174,5.0,0.0
175,5.0,0.0
176,5.0,0.0
177,5.0,0.0
178,5.0,0.0
179,5.0,0.0
180,5.0,0.0
181,5.0,0.0
182,5.0,0.0
183,5.0,0.0
184,5.0,0.0
185,5.0,0.0
186,5.0,0.0
187,5.0,0.0
188,5.0,0.0
189,5.0,0.0
190,5.0,0.0
191,5.0,0.0
192,5.0,0.0
193,5.0,0.0
194,5.0,0.0
195,5.0,0.0
196,5.0,0.0
197,5.0,0.0
198,5.0,0.0
199,5.0,0.0
200,5.0,0.0
201,5.0,0.0
202,5.0,0.0
203,5.0,0.0
204,5.0,0.0
205,5.0,0.0
206,5.0,0.0
207,5.0,0.0
208,5.0,0.0
209,5.0,0.0
210,5.0,0.0
211,5.0,0.0
212,5.0,0.0
213,5.0,0.0
214,5.0,0.0
215,5.0,0.0
216,5.0,0.0
217,5.0,0.0
218,5.0,0.0
219,5.0,0.0
220,5.0,0.0
221,5.0,0.0
222,5.0,0.0
223,5.0,0.0
224,5.0,0.0
225,5.0,0.0
226,5.0,0.0
227,5.0,0.0
228,5.0,0.0
229,5.0,0.0
230,5.0,0.0
231,5.0,0.0
232,5.0,0.0
233,5.0,0.0
