Algorithm,Seed,FND,HND,LND,GDW,TotalPacketsToBS,FinalResidualEnergy,FinalFairnessAlive
LEACH,0,276,572,917,641,23504,0.0,0.0
LEACH,1,247,644,931,684,27658,0.0,0.0
LEACH,2,330,563,885,555,23398,0.0,0.0
LEACH,3,301,599,921,620,24870,0.0,0.0
LEACH,4,287,593,959,672,24187,0.0,0.0
LEACH,5,296,548,968,672,23257,0.0,0.0
LEACH,6,264,609,919,655,28206,0.0,0.0
LEACH,7,311,552,913,602,23149,0.0,0.0
LEACH,8,337,594,901,564,23673,0.0,0.0
LEACH,9,300,580,892,592,24294,0.0,0.0
LEACH,10,283,588,877,594,24086,0.0,0.0
LEACH,11,297,573,900,603,25225,0.0,0.0
LEACH,12,264,589,989,725,27330,0.0,0.0
LEACH,13,276,469,913,637,23508,0.0,0.0
LEACH,14,322,565,946,624,24083,0.0,0.0
LEACH,15,307,604,933,626,27019,0.0,0.0
LEACH,16,293,575,922,629,23775,0.0,0.0
LEACH,17,337,664,893,556,23148,0.0,0.0
LEACH,18,217,653,923,706,26125,0.0,0.0
LEACH,19,274,550,945,671,23904,0.0,0.0
DEEC,0,560,685,770,210,7267,0.0,0.0
DEEC,1,537,702,758,221,7165,0.0,0.0
DEEC,2,592,684,784,192,7434,0.0,0.0
DEEC,3,582,688,762,180,7239,0.0,0.0
DEEC,4,563,682,785,222,7328,0.0,0.0
DEEC,5,562,674,750,188,7411,0.0,0.0
DEEC,6,545,688,770,225,8038,0.0,0.0
DEEC,7,519,677,770,251,7471,0.0,0.0
DEEC,8,602,690,782,180,7354,0.0,0.0
DEEC,9,576,673,769,193,7507,0.0,0.0
DEEC,10,565,689,769,204,6744,0.0,0.0
DEEC,11,518,684,775,257,7730,0.0,0.0
DEEC,12,529,676,789,260,8358,0.0,0.0
DEEC,13,534,638,767,233,8230,0.0,0.0
DEEC,14,565,673,777,212,7859,0.0,0.0
DEEC,15,537,685,773,236,7436,0.0,0.0
DEEC,16,512,686,772,260,7025,0.0,0.0
DEEC,17,534,701,767,233,8709,0.0,0.0
DEEC,18,549,712,774,225,7106,0.0,0.0
DEEC,19,555,666,760,205,7930,0.0,0.0
HEED,0,458,753,812,354,6473,0.0,0.0
HEED,1,420,756,848,428,6424,0.0,0.0
HEED,2,510,741,820,310,6423,0.0,0.0
HEED,3,498,750,826,328,6129,0.0,0.0
HEED,4,362,749,832,470,6549,0.0,0.0
HEED,5,488,734,832,344,6668,0.0,0.0
HEED,6,458,754,834,376,6594,0.0,0.0
HEED,7,525,736,814,289,6358,0.0,0.0
HEED,8,513,750,822,309,6291,0.0,0.0
HEED,9,396,752,813,417,6200,0.0,0.0
HEED,10,444,748,823,379,6298,0.0,0.0
HEED,11,497,747,846,349,6486,0.0,0.0
HEED,12,403,762,813,410,6160,0.0,0.0
HEED,13,512,727,823,311,6317,0.0,0.0
HEED,14,563,748,818,255,6504,0.0,0.0
HEED,15,341,756,830,489,6784,0.0,0.0
HEED,16,516,755,816,300,6183,0.0,0.0
HEED,17,485,760,837,352,6400,0.0,0.0
HEED,18,376,764,828,452,6300,0.0,0.0
HEED,19,490,736,802,312,6391,0.0,0.0
Proposed,0,630,707,724,94,3514,0.0,0.0
Proposed,1,634,708,719,85,3518,0.0,0.0
Proposed,2,592,712,722,130,3531,0.0,0.0
Proposed,3,609,721,740,131,3583,0.0,0.0
Proposed,4,625,710,727,102,3527,0.0,0.0
Proposed,5,643,706,718,75,3502,0.0,0.0
Proposed,6,563,709,725,162,3528,0.0,0.0
Proposed,7,667,700,748,81,3523,0.0,0.0
Proposed,8,604,711,729,125,3554,0.0,0.0
Proposed,9,645,709,722,77,3486,0.0,0.0
Proposed,10,631,715,730,99,3544,0.0,0.0
Proposed,11,649,713,727,78,3517,0.0,0.0
Proposed,12,625,714,756,131,3554,0.0,0.0
Proposed,13,605,685,694,89,3393,0.0,0.0
Proposed,14,606,715,743,137,3527,0.0,0.0
Proposed,15,626,703,721,95,3497,0.0,0.0
Proposed,16,579,710,721,142,3538,0.0,0.0
Proposed,17,690,715,725,35,3559,0.0,0.0
Proposed,18,658,727,738,80,3604,0.0,0.0
Proposed,19,629,713,730,101,3511,0.0,0.0
